entry,at,order
"-- ending hand #181 --",2022-10-11T08:05:49.672Z,166547554967202
"""ChunkNasty @ yuW9QjFJeh"" collected 1.50 from pot",2022-10-11T08:05:49.672Z,166547554967201
"Uncalled bet of 2.05 returned to ""ChunkNasty @ yuW9QjFJeh""",2022-10-11T08:05:49.672Z,166547554967200
"""GrandMaster @ 5tcvVo6jdw"" folds",2022-10-11T08:05:48.864Z,166547554886400
"""Fletcher @ QYLI41M-cw"" folds",2022-10-11T08:05:47.904Z,166547554790400
"""ChunkNasty @ yuW9QjFJeh"" bets 2.05",2022-10-11T08:05:45.564Z,166547554556400
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-10-11T08:05:42.702Z,166547554270200
"Turn: 4♥, Q♥, 9♥ [Q♠]",2022-10-11T08:05:37.065Z,166547553706500
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-11T08:05:36.166Z,166547553616600
"""Fletcher @ QYLI41M-cw"" checks",2022-10-11T08:05:33.651Z,166547553365100
"""ChunkNasty @ yuW9QjFJeh"" checks",2022-10-11T08:05:26.723Z,166547552672300
"Flop:  [4♥, Q♥, 9♥]",2022-10-11T08:05:23.742Z,166547552374200
"""Fletcher @ QYLI41M-cw"" checks",2022-10-11T08:05:22.914Z,166547552291400
"""ChunkNasty @ yuW9QjFJeh"" calls 0.50",2022-10-11T08:05:21.250Z,166547552125000
"""GrandMaster @ 5tcvVo6jdw"" calls 0.50",2022-10-11T08:05:14.347Z,166547551434700
"""Norton @ 50bEETeqAT"" folds",2022-10-11T08:05:13.357Z,166547551335700
"""Cal @ aFFqA9i1yY"" folds",2022-10-11T08:05:08.262Z,166547550826200
"""Fletcher @ QYLI41M-cw"" posts a big blind of 0.50",2022-10-11T08:05:06.641Z,166547550664108
"""ChunkNasty @ yuW9QjFJeh"" posts a small blind of 0.25",2022-10-11T08:05:06.641Z,166547550664107
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (80.99) | #2 ""ChunkNasty @ yuW9QjFJeh"" (214.16) | #3 ""Fletcher @ QYLI41M-cw"" (116.67) | #7 ""Cal @ aFFqA9i1yY"" (223.16) | #9 ""Norton @ 50bEETeqAT"" (63.27)",2022-10-11T08:05:06.641Z,166547550664101
"-- starting hand #181  (No Limit Texas Hold'em) (dealer: ""GrandMaster @ 5tcvVo6jdw"") --",2022-10-11T08:05:06.641Z,166547550664100
"-- ending hand #180 --",2022-10-11T08:05:03.640Z,166547550364001
"""ChunkNasty @ yuW9QjFJeh"" collected 12.40 from pot",2022-10-11T08:05:03.640Z,166547550364000
"""GrandMaster @ 5tcvVo6jdw"" folds",2022-10-11T08:05:02.837Z,166547550283700
"River: 3♥, 8♠, 4♦, K♥ [3♣]",2022-10-11T08:04:49.523Z,166547548952300
"""GrandMaster @ 5tcvVo6jdw"" calls 3.35",2022-10-11T08:04:48.649Z,166547548864900
"""ChunkNasty @ yuW9QjFJeh"" bets 3.35",2022-10-11T08:04:45.935Z,166547548593500
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-11T08:04:38.500Z,166547547850000
"Turn: 3♥, 8♠, 4♦ [K♥]",2022-10-11T08:04:37.217Z,166547547721700
"""GrandMaster @ 5tcvVo6jdw"" calls 1.05",2022-10-11T08:04:36.364Z,166547547636400
"""ChunkNasty @ yuW9QjFJeh"" bets 1.05",2022-10-11T08:04:35.002Z,166547547500200
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-11T08:04:26.666Z,166547546666600
"Flop:  [3♥, 8♠, 4♦]",2022-10-11T08:04:24.609Z,166547546460900
"""GrandMaster @ 5tcvVo6jdw"" calls 1.80",2022-10-11T08:04:23.767Z,166547546376700
"""ChunkNasty @ yuW9QjFJeh"" raises to 1.80",2022-10-11T08:04:22.167Z,166547546216700
"""GrandMaster @ 5tcvVo6jdw"" calls 0.50",2022-10-11T08:04:11.335Z,166547545133500
"""Norton @ 50bEETeqAT"" folds",2022-10-11T08:04:10.393Z,166547545039300
"""Cal @ aFFqA9i1yY"" folds",2022-10-11T08:04:04.713Z,166547544471300
"""Fletcher @ QYLI41M-cw"" folds",2022-10-11T08:04:00.058Z,166547544005800
"""ChunkNasty @ yuW9QjFJeh"" posts a big blind of 0.50",2022-10-11T08:03:54.176Z,166547543417608
"""GrandMaster @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-10-11T08:03:54.176Z,166547543417607
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (87.19) | #2 ""ChunkNasty @ yuW9QjFJeh"" (207.96) | #3 ""Fletcher @ QYLI41M-cw"" (116.67) | #7 ""Cal @ aFFqA9i1yY"" (223.16) | #9 ""Norton @ 50bEETeqAT"" (63.27)",2022-10-11T08:03:54.176Z,166547543417601
"-- starting hand #180  (No Limit Texas Hold'em) (dealer: ""Norton @ 50bEETeqAT"") --",2022-10-11T08:03:54.176Z,166547543417600
"-- ending hand #179 --",2022-10-11T08:03:51.270Z,166547543127002
