entry,at,order
"-- ending hand #413 --",2022-10-13T08:30:03.124Z,166564980312402
"""GrandMaster @ 5tcvVo6jdw"" collected 4.50 from pot",2022-10-13T08:30:03.124Z,166564980312401
"Uncalled bet of 4.50 returned to ""GrandMaster @ 5tcvVo6jdw""",2022-10-13T08:30:03.124Z,166564980312400
"""Robert @ zRtqW5d6Mc"" folds",2022-10-13T08:30:02.298Z,166564980229800
"""Cal @ aFFqA9i1yY"" folds",2022-10-13T08:29:53.261Z,166564979326100
"""GrandMaster @ 5tcvVo6jdw"" bets 4.50",2022-10-13T08:29:47.653Z,166564978765300
"Flop:  [5♠, J♥, 6♠]",2022-10-13T08:29:44.907Z,166564978490700
"""Cal @ aFFqA9i1yY"" calls 1.50",2022-10-13T08:29:44.016Z,166564978401600
"""GrandMaster @ 5tcvVo6jdw"" calls 1.50",2022-10-13T08:29:42.854Z,166564978285400
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-10-13T08:29:41.609Z,166564978160900
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-10-13T08:29:41.303Z,166564978130300
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-10-13T08:29:38.605Z,166564977860506
"""GrandMaster @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-10-13T08:29:38.605Z,166564977860505
"Your hand is 7♣, 10♠",2022-10-13T08:29:38.605Z,166564977860504
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (100.36) | #3 ""Cal @ aFFqA9i1yY"" (87.60) | #7 ""Robert @ zRtqW5d6Mc"" (62.54)",2022-10-13T08:29:38.605Z,166564977860501
"-- starting hand #413  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-10-13T08:29:38.605Z,166564977860500
"-- ending hand #412 --",2022-10-13T08:29:35.700Z,166564977570002
"""GrandMaster @ 5tcvVo6jdw"" collected 12.00 from pot",2022-10-13T08:29:35.700Z,166564977570001
"Uncalled bet of 12.00 returned to ""GrandMaster @ 5tcvVo6jdw""",2022-10-13T08:29:35.700Z,166564977570000
"""Robert @ zRtqW5d6Mc"" folds",2022-10-13T08:29:34.855Z,166564977485500
"""GrandMaster @ 5tcvVo6jdw"" bets 12.00",2022-10-13T08:29:31.170Z,166564977117000
"""Robert @ zRtqW5d6Mc"" checks",2022-10-13T08:29:28.584Z,166564976858400
"Flop:  [A♦, Q♠, 10♠]",2022-10-13T08:29:24.693Z,166564976469300
"""GrandMaster @ 5tcvVo6jdw"" calls 6.00",2022-10-13T08:29:23.884Z,166564976388400
"""Robert @ zRtqW5d6Mc"" raises to 6.00",2022-10-13T08:29:21.781Z,166564976178100
"""GrandMaster @ 5tcvVo6jdw"" raises to 2.50",2022-10-13T08:29:18.196Z,166564975819600
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-10-13T08:29:15.279Z,166564975527900
"""Cal @ aFFqA9i1yY"" folds",2022-10-13T08:29:13.469Z,166564975346900
"""GrandMaster @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-10-13T08:29:12.483Z,166564975248306
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-10-13T08:29:12.483Z,166564975248305
"Your hand is 7♥, 7♠",2022-10-13T08:29:12.483Z,166564975248304
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (94.36) | #3 ""Cal @ aFFqA9i1yY"" (87.60) | #7 ""Robert @ zRtqW5d6Mc"" (68.54)",2022-10-13T08:29:12.483Z,166564975248301
"-- starting hand #412  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-10-13T08:29:12.483Z,166564975248300
"""Robert @ zRtqW5d6Mc"" shows a A♦, 10♦.",2022-10-13T08:29:09.541Z,166564974954100
"-- ending hand #411 --",2022-10-13T08:29:08.792Z,166564974879202
"""Robert @ zRtqW5d6Mc"" collected 0.50 from pot",2022-10-13T08:29:08.792Z,166564974879201
"Uncalled bet of 0.25 returned to ""Robert @ zRtqW5d6Mc""",2022-10-13T08:29:08.792Z,166564974879200
"""Cal @ aFFqA9i1yY"" folds",2022-10-13T08:29:07.933Z,166564974793300
"""GrandMaster @ 5tcvVo6jdw"" folds",2022-10-13T08:29:04.835Z,166564974483500
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-10-13T08:29:02.281Z,166564974228106
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-10-13T08:29:02.281Z,166564974228105
"Your hand is A♦, 10♦",2022-10-13T08:29:02.281Z,166564974228104
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (94.36) | #3 ""Cal @ aFFqA9i1yY"" (87.85) | #7 ""Robert @ zRtqW5d6Mc"" (68.29)",2022-10-13T08:29:02.281Z,166564974228101
"-- starting hand #411  (No Limit Texas Hold'em) (dealer: ""GrandMaster @ 5tcvVo6jdw"") --",2022-10-13T08:29:02.281Z,166564974228100
"-- ending hand #410 --",2022-10-13T08:28:56.271Z,166564973627102
"""GrandMaster @ 5tcvVo6jdw"" collected 9.00 from pot with Flush, As High (combination: A♠, Q♠, J♠, 8♠, 7♠)",2022-10-13T08:28:56.271Z,166564973627101
"""GrandMaster @ 5tcvVo6jdw"" shows a A♠, 2♥.",2022-10-13T08:28:56.271Z,166564973627100
"""Cal @ aFFqA9i1yY"" calls 4.00",2022-10-13T08:28:55.445Z,166564973544500
"""GrandMaster @ 5tcvVo6jdw"" raises to 4.00",2022-10-13T08:28:26.598Z,166564970659800
"""Cal @ aFFqA9i1yY"" bets 1.00",2022-10-13T08:28:20.225Z,166564970022500
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-13T08:28:14.445Z,166564969444500
"River: 7♠, Q♣, 8♠, Q♠ [J♠]",2022-10-13T08:28:12.947Z,166564969294700
"""Cal @ aFFqA9i1yY"" checks",2022-10-13T08:28:12.009Z,166564969200900
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-13T08:28:10.828Z,166564969082800
"Turn: 7♠, Q♣, 8♠ [Q♠]",2022-10-13T08:28:09.547Z,166564968954700
"""Cal @ aFFqA9i1yY"" checks",2022-10-13T08:28:08.703Z,166564968870300
"""GrandMaster @ 5tcvVo6jdw"" checks",2022-10-13T08:28:07.275Z,166564968727500
"Flop:  [7♠, Q♣, 8♠]",2022-10-13T08:28:05.736Z,166564968573600
"""Cal @ aFFqA9i1yY"" checks",2022-10-13T08:28:04.901Z,166564968490100
"""GrandMaster @ 5tcvVo6jdw"" calls 0.50",2022-10-13T08:28:03.440Z,166564968344000
"""Robert @ zRtqW5d6Mc"" folds",2022-10-13T08:28:02.462Z,166564968246200
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-10-13T08:28:00.333Z,166564968033306
"""GrandMaster @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-10-13T08:28:00.333Z,166564968033305
"Your hand is 4♣, 10♣",2022-10-13T08:28:00.333Z,166564968033304
"Player stacks: #1 ""GrandMaster @ 5tcvVo6jdw"" (89.86) | #3 ""Cal @ aFFqA9i1yY"" (92.35) | #7 ""Robert @ zRtqW5d6Mc"" (68.29)",2022-10-13T08:28:00.333Z,166564968033301
"-- starting hand #410  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-10-13T08:28:00.333Z,166564968033300
"-- ending hand #409 --",2022-10-13T08:27:57.394Z,166564967739402
"""Cal @ aFFqA9i1yY"" collected 3.11 from pot",2022-10-13T08:27:57.394Z,166564967739401
"Uncalled bet of 2.33 returned to ""Cal @ aFFqA9i1yY""",2022-10-13T08:27:57.394Z,166564967739400
"""GrandMaster @ 5tcvVo6jdw"" folds",2022-10-13T08:27:56.531Z,166564967653100
