entry,at,order
"-- ending hand #238 --",2022-10-18T09:05:43.642Z,166608394364202
"""3ocket 3ings @ UYbjz-7dDz"" collected 26.16 from pot with Two Pair, A's & 4's (combination: A♦, A♠, 4♥, 4♦, Q♠)",2022-10-18T09:05:43.642Z,166608394364201
"""3ocket 3ings @ UYbjz-7dDz"" shows a 4♥, A♦.",2022-10-18T09:05:43.642Z,166608394364200
"""TheJoker @ Onfdbbb7Gs"" calls 8.72",2022-10-18T09:05:42.724Z,166608394272400
"""3ocket 3ings @ UYbjz-7dDz"" bets 8.72",2022-10-18T09:04:41.862Z,166608388186200
"River: 4♦, 6♦, 2♣, Q♠ [A♠]",2022-10-18T09:04:36.869Z,166608387686900
"""3ocket 3ings @ UYbjz-7dDz"" calls 2.11",2022-10-18T09:04:36.028Z,166608387602800
"""TheJoker @ Onfdbbb7Gs"" bets 2.11",2022-10-18T09:04:34.676Z,166608387467600
"""3ocket 3ings @ UYbjz-7dDz"" checks",2022-10-18T09:04:26.147Z,166608386614700
"Turn: 4♦, 6♦, 2♣ [Q♠]",2022-10-18T09:04:24.595Z,166608386459500
"""TheJoker @ Onfdbbb7Gs"" calls 1.50",2022-10-18T09:04:23.751Z,166608386375100
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-18T09:04:19.432Z,166608385943200
"""3ocket 3ings @ UYbjz-7dDz"" bets 1.50",2022-10-18T09:04:16.806Z,166608385680600
"Flop:  [4♦, 6♦, 2♣]",2022-10-18T09:04:09.454Z,166608384945400
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-18T09:04:08.592Z,166608384859200
"""3ocket 3ings @ UYbjz-7dDz"" calls 0.50",2022-10-18T09:04:06.588Z,166608384658800
"""TheJoker @ Onfdbbb7Gs"" calls 0.50",2022-10-18T09:04:05.590Z,166608384559000
"""Cal @ aFFqA9i1yY"" folds",2022-10-18T09:04:03.404Z,166608384340400
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-10-18T09:04:02.157Z,166608384215700
"""Chunk @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-10-18T09:03:58.781Z,166608383878107
"""3ocket 3ings @ UYbjz-7dDz"" posts a small blind of 0.25",2022-10-18T09:03:58.781Z,166608383878106
"Player stacks: #2 ""Chunk @ cqZiV-Wp5I"" (194.05) | #4 ""Cal @ aFFqA9i1yY"" (128.98) | #7 ""TheJoker @ Onfdbbb7Gs"" (214.41) | #8 ""3ocket 3ings @ UYbjz-7dDz"" (281.62)",2022-10-18T09:03:58.781Z,166608383878101
"-- starting hand #238  (No Limit Texas Hold'em) (dealer: ""TheJoker @ Onfdbbb7Gs"") --",2022-10-18T09:03:58.781Z,166608383878100
"-- ending hand #237 --",2022-10-18T09:03:55.843Z,166608383584302
"""Cal @ aFFqA9i1yY"" collected 21.81 from pot",2022-10-18T09:03:55.843Z,166608383584301
"Uncalled bet of 17.76 returned to ""Cal @ aFFqA9i1yY""",2022-10-18T09:03:55.843Z,166608383584300
