entry,at,order
"-- ending hand #167 --",2022-10-20T07:47:27.312Z,166625204731202
"""DannySalmon @ 5tcvVo6jdw"" collected 7.50 from pot with Pair, J's (combination: J♣, J♠, A♦, 8♦, 7♦)",2022-10-20T07:47:27.312Z,166625204731201
"""DannySalmon @ 5tcvVo6jdw"" shows a J♣, A♦.",2022-10-20T07:47:27.312Z,166625204731200
"""Cal @ aFFqA9i1yY"" calls 2.50",2022-10-20T07:47:26.481Z,166625204648100
"""DannySalmon @ 5tcvVo6jdw"" bets 2.50",2022-10-20T07:47:17.198Z,166625203719800
"""Cal @ aFFqA9i1yY"" checks",2022-10-20T07:47:14.157Z,166625203415700
"River: 7♦, 3♥, 6♥, 8♦ [J♠]",2022-10-20T07:47:11.703Z,166625203170300
"""DannySalmon @ 5tcvVo6jdw"" checks",2022-10-20T07:47:10.797Z,166625203079700
"""Cal @ aFFqA9i1yY"" checks",2022-10-20T07:47:09.015Z,166625202901500
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-10-20T07:47:05.058Z,166625202505800
"Turn: 7♦, 3♥, 6♥ [8♦]",2022-10-20T07:47:04.296Z,166625202429600
"""DannySalmon @ 5tcvVo6jdw"" checks",2022-10-20T07:47:03.467Z,166625202346700
"""Cal @ aFFqA9i1yY"" checks",2022-10-20T07:47:01.504Z,166625202150400
"Flop:  [7♦, 3♥, 6♥]",2022-10-20T07:46:58.492Z,166625201849200
"""Cal @ aFFqA9i1yY"" calls 1.25",2022-10-20T07:46:57.646Z,166625201764600
"""DannySalmon @ 5tcvVo6jdw"" raises to 1.25",2022-10-20T07:46:53.033Z,166625201303300
"""Cal @ aFFqA9i1yY"" calls 0.50",2022-10-20T07:46:49.392Z,166625200939200
"""Robert @ zRtqW5d6Mc"" folds",2022-10-20T07:46:47.047Z,166625200704700
"""DannySalmon @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-10-20T07:46:44.876Z,166625200487606
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-10-20T07:46:44.876Z,166625200487605
"Your hand is 5♣, J♥",2022-10-20T07:46:44.876Z,166625200487604
"Player stacks: #1 ""Cal @ aFFqA9i1yY"" (81.63) | #2 ""DannySalmon @ 5tcvVo6jdw"" (146.95) | #10 ""Robert @ zRtqW5d6Mc"" (251.01)",2022-10-20T07:46:44.876Z,166625200487601
"-- starting hand #167  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-10-20T07:46:44.876Z,166625200487600
"-- ending hand #166 --",2022-10-20T07:46:41.880Z,166625200188002
"""Cal @ aFFqA9i1yY"" collected 0.50 from pot",2022-10-20T07:46:41.880Z,166625200188001
"Uncalled bet of 0.25 returned to ""Cal @ aFFqA9i1yY""",2022-10-20T07:46:41.880Z,166625200188000
"""Robert @ zRtqW5d6Mc"" folds",2022-10-20T07:46:41.009Z,166625200100900
"""DannySalmon @ 5tcvVo6jdw"" folds",2022-10-20T07:46:39.252Z,166625199925200
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-10-20T07:46:26.070Z,166625198607007
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-10-20T07:46:26.070Z,166625198607006
"Your hand is 7♦, 5♠",2022-10-20T07:46:26.070Z,166625198607005
"Player stacks: #1 ""Cal @ aFFqA9i1yY"" (81.38) | #2 ""DannySalmon @ 5tcvVo6jdw"" (146.95) | #10 ""Robert @ zRtqW5d6Mc"" (251.26)",2022-10-20T07:46:26.070Z,166625198607002
"-- starting hand #166  (No Limit Texas Hold'em) (dead button) --",2022-10-20T07:46:26.070Z,166625198607001
"The player ""Chunk @ cqZiV-Wp5I"" stand up with the stack of 45.54.",2022-10-20T07:46:26.070Z,166625198607000
"-- ending hand #165 --",2022-10-20T07:46:23.069Z,166625198306902
"""DannySalmon @ 5tcvVo6jdw"" collected 1.00 from pot",2022-10-20T07:46:23.069Z,166625198306901
"Uncalled bet of 1.00 returned to ""DannySalmon @ 5tcvVo6jdw""",2022-10-20T07:46:23.069Z,166625198306900
"""Robert @ zRtqW5d6Mc"" folds",2022-10-20T07:46:22.244Z,166625198224400
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-20T07:46:21.274Z,166625198127400
"""DannySalmon @ 5tcvVo6jdw"" raises to 1.50",2022-10-20T07:46:18.850Z,166625197885000
"""Cal @ aFFqA9i1yY"" folds",2022-10-20T07:46:14.721Z,166625197472100
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-10-20T07:46:12.270Z,166625197227008
"Dead Small Blind",2022-10-20T07:46:12.270Z,166625197227007
"Your hand is 7♠, 3♦",2022-10-20T07:46:12.270Z,166625197227006
"Player stacks: #1 ""Cal @ aFFqA9i1yY"" (81.38) | #2 ""DannySalmon @ 5tcvVo6jdw"" (146.45) | #4 ""Chunk @ cqZiV-Wp5I"" (45.54) | #10 ""Robert @ zRtqW5d6Mc"" (251.76)",2022-10-20T07:46:12.270Z,166625197227002
"-- starting hand #165  (No Limit Texas Hold'em) (dealer: ""Chunk @ cqZiV-Wp5I"") --",2022-10-20T07:46:12.270Z,166625197227001
"The player ""5ocket 5ings @ UYbjz-7dDz"" quits the game with a stack of 109.32.",2022-10-20T07:46:12.270Z,166625197227000
"-- ending hand #164 --",2022-10-20T07:46:09.319Z,166625196931902
"""Chunk @ cqZiV-Wp5I"" collected 10.50 from pot",2022-10-20T07:46:09.319Z,166625196931901
"Uncalled bet of 10.50 returned to ""Chunk @ cqZiV-Wp5I""",2022-10-20T07:46:09.319Z,166625196931900
"""Robert @ zRtqW5d6Mc"" folds",2022-10-20T07:46:08.465Z,166625196846500
"""Chunk @ cqZiV-Wp5I"" bets 10.50",2022-10-20T07:46:03.824Z,166625196382400
"Flop:  [4♣, 3♠, Q♣]",2022-10-20T07:45:53.649Z,166625195364900
"""Robert @ zRtqW5d6Mc"" calls 5.00",2022-10-20T07:45:52.715Z,166625195271500
"""5ocket 5ings @ UYbjz-7dDz"" folds",2022-10-20T07:45:43.475Z,166625194347500
"""Chunk @ cqZiV-Wp5I"" raises to 5.00",2022-10-20T07:45:39.644Z,166625193964400
