entry,at,order
"The player ""Chunk @ cqZiV-Wp5I"" quits the game with a stack of 302.19.",2022-10-25T07:30:38.138Z,166668303813800
"-- ending hand #176 --",2022-10-25T07:30:35.142Z,166668303514202
"""TheJoker @ Onfdbbb7Gs"" collected 0.50 from pot",2022-10-25T07:30:35.142Z,166668303514201
"Uncalled bet of 0.25 returned to ""TheJoker @ Onfdbbb7Gs""",2022-10-25T07:30:35.142Z,166668303514200
"""Hugh Hefner @ L7QN4hXwLy"" folds",2022-10-25T07:30:34.292Z,166668303429200
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-10-25T07:30:30.193Z,166668303019300
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:30:28.717Z,166668302871700
"""TheJoker @ Onfdbbb7Gs"" posts a big blind of 0.50",2022-10-25T07:30:25.804Z,166668302580407
"""Hugh Hefner @ L7QN4hXwLy"" posts a small blind of 0.25",2022-10-25T07:30:25.804Z,166668302580406
"Your hand is K♦, 7♥",2022-10-25T07:30:25.804Z,166668302580405
"Player stacks: #3 ""Hugh Hefner @ L7QN4hXwLy"" (131.86) | #5 ""TheJoker @ Onfdbbb7Gs"" (276.31) | #6 ""Robert @ zRtqW5d6Mc"" (157.14)",2022-10-25T07:30:25.804Z,166668302580402
"-- starting hand #176  (No Limit Texas Hold'em) (dead button) --",2022-10-25T07:30:25.804Z,166668302580401
"The player ""Chunk @ cqZiV-Wp5I"" stand up with the stack of 302.19.",2022-10-25T07:30:25.804Z,166668302580400
"""TheJoker @ Onfdbbb7Gs"" shows a 3♦, 4♥.",2022-10-25T07:30:23.637Z,166668302363700
"-- ending hand #175 --",2022-10-25T07:30:22.125Z,166668302212502
"""TheJoker @ Onfdbbb7Gs"" collected 16.00 from pot",2022-10-25T07:30:22.125Z,166668302212501
"Uncalled bet of 10.00 returned to ""TheJoker @ Onfdbbb7Gs""",2022-10-25T07:30:22.125Z,166668302212500
"""Hugh Hefner @ L7QN4hXwLy"" folds",2022-10-25T07:30:21.272Z,166668302127200
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-25T07:30:06.308Z,166668300630800
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:30:05.425Z,166668300542500
"""TheJoker @ Onfdbbb7Gs"" bets 10.00",2022-10-25T07:29:57.476Z,166668299747600
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-10-25T07:29:51.165Z,166668299116500
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:29:49.674Z,166668298967400
"Turn: 2♠, K♦, 3♠ [10♦]",2022-10-25T07:29:47.980Z,166668298798000
"""Robert @ zRtqW5d6Mc"" checks",2022-10-25T07:29:47.155Z,166668298715500
"""TheJoker @ Onfdbbb7Gs"" checks",2022-10-25T07:29:42.056Z,166668298205600
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-10-25T07:29:38.728Z,166668297872800
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:29:36.878Z,166668297687800
"Flop:  [2♠, K♦, 3♠]",2022-10-25T07:29:34.687Z,166668297468700
"""Hugh Hefner @ L7QN4hXwLy"" calls 4.00",2022-10-25T07:29:33.876Z,166668297387600
"""Chunk @ cqZiV-Wp5I"" calls 4.00",2022-10-25T07:29:31.446Z,166668297144600
"""Robert @ zRtqW5d6Mc"" calls 4.00",2022-10-25T07:29:30.402Z,166668297040200
"""TheJoker @ Onfdbbb7Gs"" raises to 4.00",2022-10-25T07:29:28.751Z,166668296875100
"""Hugh Hefner @ L7QN4hXwLy"" posts a big blind of 0.50",2022-10-25T07:29:09.560Z,166668294956007
"""Chunk @ cqZiV-Wp5I"" posts a small blind of 0.25",2022-10-25T07:29:09.560Z,166668294956006
"Your hand is A♣, 4♠",2022-10-25T07:29:09.560Z,166668294956004
"Player stacks: #3 ""Hugh Hefner @ L7QN4hXwLy"" (135.86) | #5 ""TheJoker @ Onfdbbb7Gs"" (264.31) | #6 ""Robert @ zRtqW5d6Mc"" (161.14) | #7 ""Chunk @ cqZiV-Wp5I"" (306.19)",2022-10-25T07:29:09.560Z,166668294956001
"-- starting hand #175  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-10-25T07:29:09.560Z,166668294956000
"-- ending hand #174 --",2022-10-25T07:29:06.564Z,166668294656402
"""TheJoker @ Onfdbbb7Gs"" collected 2.00 from pot",2022-10-25T07:29:06.564Z,166668294656401
"Uncalled bet of 1.60 returned to ""TheJoker @ Onfdbbb7Gs""",2022-10-25T07:29:06.564Z,166668294656400
"""Hugh Hefner @ L7QN4hXwLy"" folds",2022-10-25T07:29:05.756Z,166668294575600
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-25T07:29:04.828Z,166668294482800
"""TheJoker @ Onfdbbb7Gs"" bets 1.60",2022-10-25T07:29:01.934Z,166668294193400
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-10-25T07:28:58.706Z,166668293870600
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:28:55.942Z,166668293594200
"Turn: 8♥, 4♠, 5♥ [K♣]",2022-10-25T07:28:54.458Z,166668293445800
"""TheJoker @ Onfdbbb7Gs"" checks",2022-10-25T07:28:53.569Z,166668293356900
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-10-25T07:28:51.112Z,166668293111200
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:28:48.308Z,166668292830800
"Flop:  [8♥, 4♠, 5♥]",2022-10-25T07:28:46.654Z,166668292665400
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:28:45.763Z,166668292576300
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:28:41.889Z,166668292188900
"""TheJoker @ Onfdbbb7Gs"" calls 0.50",2022-10-25T07:28:34.693Z,166668291469300
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-10-25T07:28:32.037Z,166668291203700
"""Hugh Hefner @ L7QN4hXwLy"" posts a missed big blind of 0.50",2022-10-25T07:28:29.848Z,166668290984810
"""Hugh Hefner @ L7QN4hXwLy"" posts a missing small blind of 0.25",2022-10-25T07:28:29.848Z,166668290984809
"""Chunk @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-10-25T07:28:29.848Z,166668290984808
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-10-25T07:28:29.848Z,166668290984807
"Your hand is 2♠, 4♣",2022-10-25T07:28:29.848Z,166668290984805
"Player stacks: #3 ""Hugh Hefner @ L7QN4hXwLy"" (136.61) | #5 ""TheJoker @ Onfdbbb7Gs"" (262.81) | #6 ""Robert @ zRtqW5d6Mc"" (161.39) | #7 ""Chunk @ cqZiV-Wp5I"" (306.69)",2022-10-25T07:28:29.848Z,166668290984802
"-- starting hand #174  (No Limit Texas Hold'em) (dealer: ""TheJoker @ Onfdbbb7Gs"") --",2022-10-25T07:28:29.848Z,166668290984801
"The player ""Hugh Hefner @ L7QN4hXwLy"" joined the game with a stack of 136.61.",2022-10-25T07:28:29.848Z,166668290984800
"The player ""Hugh Hefner @ L7QN4hXwLy"" sit back with the stack of 136.61.",2022-10-25T07:28:27.027Z,166668290702700
"-- ending hand #173 --",2022-10-25T07:28:26.846Z,166668290684602
"""Chunk @ cqZiV-Wp5I"" collected 1.25 from pot",2022-10-25T07:28:26.846Z,166668290684601
"Uncalled bet of 1.50 returned to ""Chunk @ cqZiV-Wp5I""",2022-10-25T07:28:26.846Z,166668290684600
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:28:25.965Z,166668290596500
"""TheJoker @ Onfdbbb7Gs"" folds",2022-10-25T07:28:25.008Z,166668290500800
"""Chunk @ cqZiV-Wp5I"" raises to 2.00",2022-10-25T07:28:22.700Z,166668290270000
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-10-25T07:28:15.643Z,166668289564306
"""TheJoker @ Onfdbbb7Gs"" posts a small blind of 0.25",2022-10-25T07:28:15.643Z,166668289564305
"Your hand is 4♥, 6♠",2022-10-25T07:28:15.643Z,166668289564303
"Player stacks: #5 ""TheJoker @ Onfdbbb7Gs"" (263.06) | #6 ""Robert @ zRtqW5d6Mc"" (161.89) | #7 ""Chunk @ cqZiV-Wp5I"" (305.94)",2022-10-25T07:28:15.643Z,166668289564301
"-- starting hand #173  (No Limit Texas Hold'em) (dealer: ""Chunk @ cqZiV-Wp5I"") --",2022-10-25T07:28:15.643Z,166668289564300
"-- ending hand #172 --",2022-10-25T07:28:12.735Z,166668289273502
"""TheJoker @ Onfdbbb7Gs"" collected 4.00 from pot",2022-10-25T07:28:12.735Z,166668289273501
"Uncalled bet of 4.00 returned to ""TheJoker @ Onfdbbb7Gs""",2022-10-25T07:28:12.735Z,166668289273500
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-25T07:28:11.847Z,166668289184700
"""TheJoker @ Onfdbbb7Gs"" bets 4.00",2022-10-25T07:28:00.572Z,166668288057200
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:27:55.622Z,166668287562200
"Flop:  [8♥, A♠, A♥]",2022-10-25T07:27:53.514Z,166668287351400
"""Chunk @ cqZiV-Wp5I"" calls 2.00",2022-10-25T07:27:52.701Z,166668287270100
"""TheJoker @ Onfdbbb7Gs"" raises to 2.00",2022-10-25T07:27:44.625Z,166668286462500
"""Chunk @ cqZiV-Wp5I"" calls 0.50",2022-10-25T07:27:39.342Z,166668285934200
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:27:33.036Z,166668285303600
"""TheJoker @ Onfdbbb7Gs"" posts a big blind of 0.50",2022-10-25T07:27:19.011Z,166668283901106
"""Chunk @ cqZiV-Wp5I"" posts a small blind of 0.25",2022-10-25T07:27:19.011Z,166668283901105
"Your hand is 6♥, K♦",2022-10-25T07:27:19.011Z,166668283901103
"Player stacks: #5 ""TheJoker @ Onfdbbb7Gs"" (261.06) | #6 ""Robert @ zRtqW5d6Mc"" (161.89) | #7 ""Chunk @ cqZiV-Wp5I"" (307.94)",2022-10-25T07:27:19.011Z,166668283901101
"-- starting hand #172  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-10-25T07:27:19.011Z,166668283901100
"-- ending hand #171 --",2022-10-25T07:27:16.011Z,166668283601102
"""Robert @ zRtqW5d6Mc"" collected 1.00 from pot",2022-10-25T07:27:16.011Z,166668283601101
"Uncalled bet of 1.00 returned to ""Robert @ zRtqW5d6Mc""",2022-10-25T07:27:16.011Z,166668283601100
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-25T07:27:15.186Z,166668283518600
"""Robert @ zRtqW5d6Mc"" bets 1.00",2022-10-25T07:27:11.745Z,166668283174500
"Turn: Q♣, 9♣, 7♥ [4♦]",2022-10-25T07:27:06.203Z,166668282620300
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:27:05.284Z,166668282528400
"""Robert @ zRtqW5d6Mc"" checks",2022-10-25T07:26:56.178Z,166668281617800
"Flop:  [Q♣, 9♣, 7♥]",2022-10-25T07:26:50.993Z,166668281099300
"""Chunk @ cqZiV-Wp5I"" checks",2022-10-25T07:26:50.106Z,166668281010600
"""Robert @ zRtqW5d6Mc"" calls 0.50",2022-10-25T07:26:48.051Z,166668280805100
"""TheJoker @ Onfdbbb7Gs"" folds",2022-10-25T07:26:45.029Z,166668280502900
"""Chunk @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-10-25T07:26:41.270Z,166668280127008
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-10-25T07:26:41.270Z,166668280127007
"Your hand is A♥, 4♠",2022-10-25T07:26:41.270Z,166668280127005
"Player stacks: #5 ""TheJoker @ Onfdbbb7Gs"" (261.06) | #6 ""Robert @ zRtqW5d6Mc"" (161.39) | #7 ""Chunk @ cqZiV-Wp5I"" (308.44)",2022-10-25T07:26:41.270Z,166668280127003
"-- starting hand #171  (No Limit Texas Hold'em) (dealer: ""TheJoker @ Onfdbbb7Gs"") --",2022-10-25T07:26:41.270Z,166668280127002
"The player ""Cal @ aFFqA9i1yY"" quits the game with a stack of 0.00.",2022-10-25T07:26:41.270Z,166668280127001
"The player ""griff @ 2LT_LriXX5"" stand up with the stack of 201.50.",2022-10-25T07:26:41.270Z,166668280127000
"-- ending hand #170 --",2022-10-25T07:26:35.267Z,166668279526701
"""TheJoker @ Onfdbbb7Gs"" collected 50.34 from pot with Two Pair, A's & 10's (combination: A♦, A♣, 10♠, 10♦, Q♠)",2022-10-25T07:26:35.267Z,166668279526700
"River: Q♠, 7♥, 10♠, 4♥ [10♦]",2022-10-25T07:26:31.173Z,166668279117300
"Turn: Q♠, 7♥, 10♠ [4♥]",2022-10-25T07:26:27.062Z,166668278706200
"Flop:  [Q♠, 7♥, 10♠]",2022-10-25T07:26:22.973Z,166668278297300
"""TheJoker @ Onfdbbb7Gs"" shows a A♦, A♣.",2022-10-25T07:26:18.967Z,166668277896701
"""Cal @ aFFqA9i1yY"" shows a K♣, K♥.",2022-10-25T07:26:18.967Z,166668277896700
"Some players choose to not run it twice.",2022-10-25T07:26:18.101Z,166668277810101
"""Cal @ aFFqA9i1yY"" chooses to not run it twice.",2022-10-25T07:26:18.101Z,166668277810100
"""TheJoker @ Onfdbbb7Gs"" chooses to  run it twice.",2022-10-25T07:26:15.456Z,166668277545600
"Remaining players decide whether to run it twice.",2022-10-25T07:26:15.350Z,166668277535001
"""TheJoker @ Onfdbbb7Gs"" calls 24.67",2022-10-25T07:26:15.350Z,166668277535000
"""Cal @ aFFqA9i1yY"" raises to 24.67 and go all in",2022-10-25T07:26:13.302Z,166668277330200
"""Chunk @ cqZiV-Wp5I"" folds",2022-10-25T07:26:08.500Z,166668276850000
"""Robert @ zRtqW5d6Mc"" folds",2022-10-25T07:26:06.203Z,166668276620300
"""TheJoker @ Onfdbbb7Gs"" raises to 5.88",2022-10-25T07:26:03.717Z,166668276371700
"""Cal @ aFFqA9i1yY"" raises to 2.00",2022-10-25T07:25:55.124Z,166668275512400
"""griff @ 2LT_LriXX5"" folds",2022-10-25T07:25:51.466Z,166668275146600
"""Chunk @ cqZiV-Wp5I"" calls 0.50",2022-10-25T07:25:50.542Z,166668275054200
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-10-25T07:25:45.742Z,166668274574208
"""TheJoker @ Onfdbbb7Gs"" posts a small blind of 0.25",2022-10-25T07:25:45.742Z,166668274574207
"Your hand is K♦, 7♦",2022-10-25T07:25:45.742Z,166668274574204
"Player stacks: #4 ""Cal @ aFFqA9i1yY"" (24.67) | #5 ""TheJoker @ Onfdbbb7Gs"" (235.39) | #6 ""Robert @ zRtqW5d6Mc"" (161.89) | #7 ""Chunk @ cqZiV-Wp5I"" (308.94) | #9 ""griff @ 2LT_LriXX5"" (201.50)",2022-10-25T07:25:45.742Z,166668274574201
"-- starting hand #170  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-10-25T07:25:45.742Z,166668274574200
"""griff @ 2LT_LriXX5"" shows a Q♣, 6♣.",2022-10-25T07:25:40.618Z,166668274061800
"-- ending hand #169 --",2022-10-25T07:25:39.140Z,166668273914002
"""Robert @ zRtqW5d6Mc"" collected 29.25 from pot with Two Pair, A's & 10's (combination: A♦, A♣, 10♣, 10♠, Q♥)",2022-10-25T07:25:39.140Z,166668273914001
"""Robert @ zRtqW5d6Mc"" shows a A♦, 10♣.",2022-10-25T07:25:39.140Z,166668273914000
"""TheJoker @ Onfdbbb7Gs"" calls 9.00",2022-10-25T07:25:38.263Z,166668273826300
"""Robert @ zRtqW5d6Mc"" bets 9.00",2022-10-25T07:24:58.438Z,166668269843800
"""TheJoker @ Onfdbbb7Gs"" checks",2022-10-25T07:24:48.718Z,166668268871800
"River: Q♥, 7♣, J♣, A♣ [10♠]",2022-10-25T07:24:43.780Z,166668268378000
"""TheJoker @ Onfdbbb7Gs"" calls 3.75",2022-10-25T07:24:42.903Z,166668268290300
"""Robert @ zRtqW5d6Mc"" bets 3.75",2022-10-25T07:24:39.387Z,166668267938700
"""TheJoker @ Onfdbbb7Gs"" checks",2022-10-25T07:24:35.901Z,166668267590100
"Turn: Q♥, 7♣, J♣ [A♣]",2022-10-25T07:24:31.770Z,166668267177000
"""Robert @ zRtqW5d6Mc"" checks",2022-10-25T07:24:30.883Z,166668267088300
"""TheJoker @ Onfdbbb7Gs"" checks",2022-10-25T07:24:28.267Z,166668266826700
