entry,at,order
"-- ending hand #207 --",2022-11-03T08:43:46.455Z,166746502645502
"""Robert @ zRtqW5d6Mc"" collected 25.73 from pot with Pair, 2's (combination: 2♥, 2♣, J♦, 10♦, 8♣)",2022-11-03T08:43:46.455Z,166746502645501
"""Robert @ zRtqW5d6Mc"" shows a 10♦, 2♥.",2022-11-03T08:43:46.455Z,166746502645500
"""Bane @ igDcbtr_jx"" checks",2022-11-03T08:43:45.633Z,166746502563300
"""Robert @ zRtqW5d6Mc"" checks",2022-11-03T08:43:43.186Z,166746502318600
"River: 8♣, 2♣, J♦, 7♥ [3♠]",2022-11-03T08:43:20.836Z,166746500083600
"""Robert @ zRtqW5d6Mc"" calls 6.49",2022-11-03T08:43:19.898Z,166746499989800
"""Bane @ igDcbtr_jx"" bets 6.49",2022-11-03T08:43:16.650Z,166746499665000
"""Robert @ zRtqW5d6Mc"" checks",2022-11-03T08:43:06.534Z,166746498653400
"Turn: 8♣, 2♣, J♦ [7♥]",2022-11-03T08:42:57.217Z,166746497721700
"""Bane @ igDcbtr_jx"" calls 4.25",2022-11-03T08:42:56.288Z,166746497628800
"""Robert @ zRtqW5d6Mc"" bets 4.25",2022-11-03T08:42:06.730Z,166746492673000
"Flop:  [8♣, 2♣, J♦]",2022-11-03T08:42:02.772Z,166746492277200
"""Cal @ aFFqA9i1yY"" folds",2022-11-03T08:42:01.924Z,166746492192400
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-03T08:41:59.268Z,166746491926800
"""Bane @ igDcbtr_jx"" calls 1.75",2022-11-03T08:41:58.292Z,166746491829200
"""Robert @ zRtqW5d6Mc"" raises to 1.75",2022-11-03T08:41:56.222Z,166746491622200
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-11-03T08:41:53.795Z,166746491379500
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-11-03T08:41:50.965Z,166746491096507
"""Danny Salmon @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-11-03T08:41:50.965Z,166746491096506
"Your hand is 10♦, 2♥",2022-11-03T08:41:50.965Z,166746491096505
"Player stacks: #1 ""Bane @ igDcbtr_jx"" (102.49) | #5 ""Danny Salmon @ 5tcvVo6jdw"" (89.98) | #6 ""Cal @ aFFqA9i1yY"" (107.92) | #8 ""Robert @ zRtqW5d6Mc"" (143.82)",2022-11-03T08:41:50.965Z,166746491096501
"-- starting hand #207  (No Limit Texas Hold'em) (dealer: ""Bane @ igDcbtr_jx"") --",2022-11-03T08:41:50.965Z,166746491096500
"-- ending hand #206 --",2022-11-03T08:41:47.964Z,166746490796402
"""Bane @ igDcbtr_jx"" collected 4.50 from pot",2022-11-03T08:41:47.964Z,166746490796401
"Uncalled bet of 3.25 returned to ""Bane @ igDcbtr_jx""",2022-11-03T08:41:47.964Z,166746490796400
"""Cal @ aFFqA9i1yY"" folds",2022-11-03T08:41:47.156Z,166746490715600
