entry,at,order
"""Robert @ zRtqW5d6Mc"" shows a 8♣, 8♦.",2022-07-27T06:22:47.645Z,165890296764500
"-- ending hand #162 --",2022-07-27T06:22:47.251Z,165890296725102
"""Robert @ zRtqW5d6Mc"" collected 10.50 from pot",2022-07-27T06:22:47.251Z,165890296725101
"Uncalled bet of 5.00 returned to ""Robert @ zRtqW5d6Mc""",2022-07-27T06:22:47.251Z,165890296725100
"""Qocket Qings @ PNMdqOx3Mf"" folds",2022-07-27T06:22:46.379Z,165890296637900
"""Robert @ zRtqW5d6Mc"" bets 5.00",2022-07-27T06:22:32.776Z,165890295277600
"Turn: 4♦, 4♣, 2♥ [10♠]",2022-07-27T06:22:28.365Z,165890294836500
"""Qocket Qings @ PNMdqOx3Mf"" calls 3.50",2022-07-27T06:22:27.550Z,165890294755000
"""Robert @ zRtqW5d6Mc"" raises to 3.50",2022-07-27T06:22:26.035Z,165890294603500
"""Qocket Qings @ PNMdqOx3Mf"" bets 1.75",2022-07-27T06:22:23.483Z,165890294348300
"""Robert @ zRtqW5d6Mc"" checks",2022-07-27T06:22:17.655Z,165890293765500
"Flop:  [4♦, 4♣, 2♥]",2022-07-27T06:22:13.622Z,165890293362200
"""Qocket Qings @ PNMdqOx3Mf"" calls 1.50",2022-07-27T06:22:12.778Z,165890293277800
"""Cal @ aFFqA9i1yY"" folds",2022-07-27T06:22:09.521Z,165890292952100
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-07-27T06:22:08.111Z,165890292811100
"""Qocket Qings @ PNMdqOx3Mf"" calls 0.50",2022-07-27T06:22:05.932Z,165890292593200
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-07-27T06:22:00.619Z,165890292061900
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-07-27T06:21:58.417Z,165890291841707
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-07-27T06:21:58.417Z,165890291841706
"Your hand is 8♣, 8♦",2022-07-27T06:21:58.417Z,165890291841704
"Player stacks: #7 ""Qocket Qings @ PNMdqOx3Mf"" (64.19) | #9 ""Robert @ zRtqW5d6Mc"" (87.79) | #10 ""Cal @ aFFqA9i1yY"" (130.19)",2022-07-27T06:21:58.417Z,165890291841702
"-- starting hand #162  (No Limit Texas Hold'em) (dealer: ""Qocket Qings @ PNMdqOx3Mf"") --",2022-07-27T06:21:58.417Z,165890291841701
"The player ""Max @ 3uXcnGepzi"" quits the game with a stack of 0.00.",2022-07-27T06:21:58.417Z,165890291841700
"""Cal @ aFFqA9i1yY"" shows a 3♥, 5♥.",2022-07-27T06:21:50.681Z,165890291068100
"-- ending hand #161 --",2022-07-27T06:21:49.888Z,165890290988802
"""Robert @ zRtqW5d6Mc"" collected 11.46 from pot with Pair, 8's on the second run  (combination: 8♠, 8♦, A♣, Q♥, J♦)",2022-07-27T06:21:49.888Z,165890290988801
"""Robert @ zRtqW5d6Mc"" collected 11.47 from pot with Full House, 8's over 4's (combination: 8♠, 8♦, 8♣, 4♦, 4♥)",2022-07-27T06:21:49.888Z,165890290988800
"River (second run): J♦, A♣, Q♥, 2♠ [5♣]",2022-07-27T06:21:45.884Z,165890290588400
"Turn (second run): J♦, A♣, Q♥ [2♠]",2022-07-27T06:21:41.882Z,165890290188200
"Flop (second run):  [J♦, A♣, Q♥]",2022-07-27T06:21:37.879Z,165890289787900
"River: 4♦, 8♣, 6♣, 4♥ [Q♦]",2022-07-27T06:21:33.797Z,165890289379700
"Turn: 4♦, 8♣, 6♣ [4♥]",2022-07-27T06:21:29.790Z,165890288979000
"Flop:  [4♦, 8♣, 6♣]",2022-07-27T06:21:25.784Z,165890288578400
"""Robert @ zRtqW5d6Mc"" shows a 8♠, 8♦.",2022-07-27T06:21:21.777Z,165890288177702
"""Max @ 3uXcnGepzi"" shows a 3♦, 5♦.",2022-07-27T06:21:21.777Z,165890288177701
"Uncalled bet of 10.91 returned to ""Robert @ zRtqW5d6Mc""",2022-07-27T06:21:21.777Z,165890288177700
"All players in hand choose to run it twice.",2022-07-27T06:21:20.946Z,165890288094601
"""Robert @ zRtqW5d6Mc"" chooses to  run it twice.",2022-07-27T06:21:20.946Z,165890288094600
"""Max @ 3uXcnGepzi"" chooses to  run it twice.",2022-07-27T06:21:17.089Z,165890287708900
"Remaining players decide whether to run it twice.",2022-07-27T06:21:15.450Z,165890287545001
"""Qocket Qings @ PNMdqOx3Mf"" folds",2022-07-27T06:21:15.450Z,165890287545000
"""Max @ 3uXcnGepzi"" calls 9.09 and go all in",2022-07-27T06:21:13.758Z,165890287375800
"""Cal @ aFFqA9i1yY"" folds",2022-07-27T06:21:11.986Z,165890287198600
"""Robert @ zRtqW5d6Mc"" raises to 20.00",2022-07-27T06:21:09.167Z,165890286916700
"""Qocket Qings @ PNMdqOx3Mf"" calls 3.75",2022-07-27T06:21:01.873Z,165890286187300
"""Max @ 3uXcnGepzi"" raises to 3.75",2022-07-27T06:20:59.385Z,165890285938500
"""Cal @ aFFqA9i1yY"" posts a straddle of 1.00",2022-07-27T06:20:55.565Z,165890285556508
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-07-27T06:20:55.565Z,165890285556507
"""Qocket Qings @ PNMdqOx3Mf"" posts a small blind of 0.25",2022-07-27T06:20:55.565Z,165890285556506
"Your hand is 8♠, 8♦",2022-07-27T06:20:55.565Z,165890285556504
"Player stacks: #4 ""Max @ 3uXcnGepzi"" (9.09) | #7 ""Qocket Qings @ PNMdqOx3Mf"" (67.94) | #9 ""Robert @ zRtqW5d6Mc"" (73.95) | #10 ""Cal @ aFFqA9i1yY"" (131.19)",2022-07-27T06:20:55.565Z,165890285556501
"-- starting hand #161  (No Limit Texas Hold'em) (dealer: ""Max @ 3uXcnGepzi"") --",2022-07-27T06:20:55.565Z,165890285556500
"""Max @ 3uXcnGepzi"" shows a 8♣, 10♦.",2022-07-27T06:20:53.288Z,165890285328800
"""Robert @ zRtqW5d6Mc"" shows a Q♥, J♠.",2022-07-27T06:20:51.863Z,165890285186300
"-- ending hand #160 --",2022-07-27T06:20:51.237Z,165890285123702
"""Robert @ zRtqW5d6Mc"" collected 1.25 from pot",2022-07-27T06:20:51.237Z,165890285123701
"Uncalled bet of 1.00 returned to ""Robert @ zRtqW5d6Mc""",2022-07-27T06:20:51.237Z,165890285123700
"""Qocket Qings @ PNMdqOx3Mf"" folds",2022-07-27T06:20:50.389Z,165890285038900
"""Max @ 3uXcnGepzi"" folds",2022-07-27T06:20:48.519Z,165890284851900
"""Cal @ aFFqA9i1yY"" folds",2022-07-27T06:20:47.623Z,165890284762300
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-07-27T06:20:43.688Z,165890284368800
"""Qocket Qings @ PNMdqOx3Mf"" posts a big blind of 0.50",2022-07-27T06:20:41.825Z,165890284182507
"""Max @ 3uXcnGepzi"" posts a small blind of 0.25",2022-07-27T06:20:41.825Z,165890284182506
"Your hand is Q♥, J♠",2022-07-27T06:20:41.825Z,165890284182504
"Player stacks: #4 ""Max @ 3uXcnGepzi"" (9.34) | #7 ""Qocket Qings @ PNMdqOx3Mf"" (68.44) | #9 ""Robert @ zRtqW5d6Mc"" (73.20) | #10 ""Cal @ aFFqA9i1yY"" (131.19)",2022-07-27T06:20:41.825Z,165890284182501
"-- starting hand #160  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-07-27T06:20:41.825Z,165890284182500
"""Max @ 3uXcnGepzi"" shows a 9♥, 3♦.",2022-07-27T06:20:39.471Z,165890283947100
"""Robert @ zRtqW5d6Mc"" shows a J♠, A♥.",2022-07-27T06:20:38.033Z,165890283803300
"-- ending hand #159 --",2022-07-27T06:20:37.456Z,165890283745602
"""Robert @ zRtqW5d6Mc"" collected 1.25 from pot",2022-07-27T06:20:37.456Z,165890283745601
"Uncalled bet of 1.00 returned to ""Robert @ zRtqW5d6Mc""",2022-07-27T06:20:37.456Z,165890283745600
"""Max @ 3uXcnGepzi"" folds",2022-07-27T06:20:36.648Z,165890283664800
"""Cal @ aFFqA9i1yY"" folds",2022-07-27T06:20:35.658Z,165890283565800
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-07-27T06:20:33.535Z,165890283353500
"""Qocket Qings @ PNMdqOx3Mf"" folds",2022-07-27T06:20:30.316Z,165890283031600
"""Max @ 3uXcnGepzi"" posts a big blind of 0.50",2022-07-27T06:20:28.950Z,165890282895007
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-07-27T06:20:28.950Z,165890282895006
"Your hand is J♠, A♥",2022-07-27T06:20:28.950Z,165890282895004
"Player stacks: #4 ""Max @ 3uXcnGepzi"" (9.84) | #7 ""Qocket Qings @ PNMdqOx3Mf"" (68.44) | #9 ""Robert @ zRtqW5d6Mc"" (72.45) | #10 ""Cal @ aFFqA9i1yY"" (131.44)",2022-07-27T06:20:28.950Z,165890282895001
"-- starting hand #159  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-07-27T06:20:28.950Z,165890282895000
"-- ending hand #158 --",2022-07-27T06:20:26.008Z,165890282600802
"""Robert @ zRtqW5d6Mc"" collected 1.00 from pot",2022-07-27T06:20:26.008Z,165890282600801
"Uncalled bet of 1.00 returned to ""Robert @ zRtqW5d6Mc""",2022-07-27T06:20:26.008Z,165890282600800
"""Cal @ aFFqA9i1yY"" folds",2022-07-27T06:20:25.155Z,165890282515500
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-07-27T06:20:23.904Z,165890282390400
"""Qocket Qings @ PNMdqOx3Mf"" folds",2022-07-27T06:20:18.126Z,165890281812600
"""Max @ 3uXcnGepzi"" folds",2022-07-27T06:20:15.114Z,165890281511400
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-07-27T06:20:13.628Z,165890281362808
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-07-27T06:20:13.628Z,165890281362807
"Your hand is J♦, 3♣",2022-07-27T06:20:13.628Z,165890281362805
"Player stacks: #4 ""Max @ 3uXcnGepzi"" (9.84) | #7 ""Qocket Qings @ PNMdqOx3Mf"" (68.44) | #9 ""Robert @ zRtqW5d6Mc"" (71.95) | #10 ""Cal @ aFFqA9i1yY"" (131.94)",2022-07-27T06:20:13.628Z,165890281362802
"-- starting hand #158  (No Limit Texas Hold'em) (dealer: ""Qocket Qings @ PNMdqOx3Mf"") --",2022-07-27T06:20:13.628Z,165890281362801
"The player ""ill hill @ 5tcvVo6jdw"" quits the game with a stack of 0.00.",2022-07-27T06:20:13.628Z,165890281362800
"""Max @ 3uXcnGepzi"" shows a 9♠, 7♥.",2022-07-27T06:20:06.599Z,165890280659900
"""Robert @ zRtqW5d6Mc"" shows a 6♦, J♦.",2022-07-27T06:20:04.755Z,165890280475500
"-- ending hand #157 --",2022-07-27T06:20:04.619Z,165890280461902
"""Cal @ aFFqA9i1yY"" collected 10.01 from pot with Pair, Q's on the second run  (combination: Q♥, Q♣, J♥, 6♥, 5♦)",2022-07-27T06:20:04.619Z,165890280461901
"""Cal @ aFFqA9i1yY"" collected 10.02 from pot with Pair, Q's (combination: Q♥, Q♣, K♣, 10♦, 9♦)",2022-07-27T06:20:04.619Z,165890280461900
"River (second run): J♥, 6♥, 5♦, 3♦ [4♠]",2022-07-27T06:20:00.603Z,165890280060300
"Turn (second run): J♥, 6♥, 5♦ [3♦]",2022-07-27T06:19:56.580Z,165890279658000
"Flop (second run):  [J♥, 6♥, 5♦]",2022-07-27T06:19:52.571Z,165890279257100
"River: 9♦, 8♦, 7♠, K♣ [10♦]",2022-07-27T06:19:48.530Z,165890278853000
"Turn: 9♦, 8♦, 7♠ [K♣]",2022-07-27T06:19:44.521Z,165890278452100
"Flop:  [9♦, 8♦, 7♠]",2022-07-27T06:19:40.513Z,165890278051300
"""Cal @ aFFqA9i1yY"" shows a Q♥, Q♣.",2022-07-27T06:19:36.505Z,165890277650501
"""ill hill @ 5tcvVo6jdw"" shows a 4♦, A♥.",2022-07-27T06:19:36.505Z,165890277650500
"All players in hand choose to run it twice.",2022-07-27T06:19:35.660Z,165890277566001
"""Cal @ aFFqA9i1yY"" chooses to  run it twice.",2022-07-27T06:19:35.660Z,165890277566000
"""ill hill @ 5tcvVo6jdw"" chooses to  run it twice.",2022-07-27T06:19:31.983Z,165890277198300
"Remaining players decide whether to run it twice.",2022-07-27T06:19:30.780Z,165890277078001
