entry,at,order
"-- ending hand #46 --",2022-07-29T05:14:52.688Z,165907169268802
"""Cal @ aFFqA9i1yY"" collected 1.00 from pot",2022-07-29T05:14:52.688Z,165907169268801
"Uncalled bet of 1.50 returned to ""Cal @ aFFqA9i1yY""",2022-07-29T05:14:52.688Z,165907169268800
"""Gianni @ PNMdqOx3Mf"" folds",2022-07-29T05:14:51.782Z,165907169178200
"""Cal @ aFFqA9i1yY"" raises to 2.00",2022-07-29T05:14:50.266Z,165907169026600
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-07-29T05:14:46.452Z,165907168645200
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-07-29T05:14:41.941Z,165907168194100
"""Gianni @ PNMdqOx3Mf"" posts a big blind of 0.50",2022-07-29T05:14:39.558Z,165907167955807
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-07-29T05:14:39.558Z,165907167955806
"Player stacks: #1 ""Gianni @ PNMdqOx3Mf"" (72.14) | #4 ""Danny Salmon @ 5tcvVo6jdw"" (58.25) | #8 ""Cal @ aFFqA9i1yY"" (35.61)",2022-07-29T05:14:39.558Z,165907167955802
"-- starting hand #46  (No Limit Texas Hold'em) (dealer: ""Danny Salmon @ 5tcvVo6jdw"") --",2022-07-29T05:14:39.558Z,165907167955801
"The player ""Robert @ zRtqW5d6Mc"" quits the game with a stack of 0.00.",2022-07-29T05:14:39.558Z,165907167955800
"-- ending hand #45 --",2022-07-29T05:14:31.538Z,165907167153802
"""Danny Salmon @ 5tcvVo6jdw"" collected 10.09 from pot with Two Pair, Q's & 10's on the second run  (combination: Q♣, Q♥, 10♠, 10♥, J♥)",2022-07-29T05:14:31.538Z,165907167153801
"""Danny Salmon @ 5tcvVo6jdw"" collected 10.09 from pot with Two Pair, Q's & 4's (combination: Q♣, Q♥, 4♣, 4♠, J♥)",2022-07-29T05:14:31.538Z,165907167153800
"River (second run): 4♣, Q♥, 10♠, 10♥ [5♠]",2022-07-29T05:14:27.504Z,165907166750400
"Turn (second run): 4♣, Q♥, 10♠ [10♥]",2022-07-29T05:14:23.498Z,165907166349800
"River: 4♣, Q♥, 10♠, 4♠ [8♦]",2022-07-29T05:14:19.443Z,165907165944300
"Turn: 4♣, Q♥, 10♠ [4♠]",2022-07-29T05:14:15.434Z,165907165543400
"""Robert @ zRtqW5d6Mc"" shows a J♣, 7♠.",2022-07-29T05:14:11.423Z,165907165142301
"""Danny Salmon @ 5tcvVo6jdw"" shows a Q♣, J♥.",2022-07-29T05:14:11.423Z,165907165142300
"All players in hand choose to run it twice.",2022-07-29T05:14:10.546Z,165907165054601
"""Robert @ zRtqW5d6Mc"" chooses to  run it twice.",2022-07-29T05:14:10.546Z,165907165054600
"""Danny Salmon @ 5tcvVo6jdw"" chooses to  run it twice.",2022-07-29T05:14:08.871Z,165907164887100
"Remaining players decide whether to run it twice.",2022-07-29T05:14:07.856Z,165907164785601
"""Robert @ zRtqW5d6Mc"" calls 7.84 and go all in",2022-07-29T05:14:07.856Z,165907164785600
"""Danny Salmon @ 5tcvVo6jdw"" raises to 7.84",2022-07-29T05:14:05.862Z,165907164586200
"""Robert @ zRtqW5d6Mc"" bets 4.50",2022-07-29T05:14:01.569Z,165907164156900
"""Danny Salmon @ 5tcvVo6jdw"" checks",2022-07-29T05:13:55.928Z,165907163592800
"Flop:  [4♣, Q♥, 10♠]",2022-07-29T05:13:53.637Z,165907163363700
"""Cal @ aFFqA9i1yY"" folds",2022-07-29T05:13:52.805Z,165907163280500
"""Danny Salmon @ 5tcvVo6jdw"" calls 2.00",2022-07-29T05:13:42.194Z,165907162219400
"""Gianni @ PNMdqOx3Mf"" folds",2022-07-29T05:13:37.385Z,165907161738500
