entry,at,order
"-- ending hand #315 --",2022-08-22T09:32:03.893Z,166116072389302
"""Robert @ zRtqW5d6Mc"" collected 19.00 from pot with Pair, J's (combination: J♣, J♦, A♥, K♥, 10♣)",2022-08-22T09:32:03.893Z,166116072389301
"""Robert @ zRtqW5d6Mc"" shows a J♣, A♥.",2022-08-22T09:32:03.893Z,166116072389300
"""Giocket Gings @ PNMdqOx3Mf"" checks",2022-08-22T09:32:03.034Z,166116072303400
"""Robert @ zRtqW5d6Mc"" checks",2022-08-22T09:32:01.700Z,166116072170000
"River: 10♣, 5♦, K♥, 4♦ [J♦]",2022-08-22T09:31:58.985Z,166116071898500
"""Giocket Gings @ PNMdqOx3Mf"" checks",2022-08-22T09:31:58.145Z,166116071814500
"""Robert @ zRtqW5d6Mc"" checks",2022-08-22T09:31:54.154Z,166116071415400
"Turn: 10♣, 5♦, K♥ [4♦]",2022-08-22T09:31:53.082Z,166116071308200
"""Robert @ zRtqW5d6Mc"" calls 4.75",2022-08-22T09:31:52.202Z,166116071220200
"""Giocket Gings @ PNMdqOx3Mf"" bets 4.75",2022-08-22T09:31:50.314Z,166116071031400
"""Robert @ zRtqW5d6Mc"" checks",2022-08-22T09:31:44.953Z,166116070495300
"Flop:  [10♣, 5♦, K♥]",2022-08-22T09:31:40.872Z,166116070087200
"""Cal @ aFFqA9i1yY"" folds",2022-08-22T09:31:40.033Z,166116070003300
"""Giocket Gings @ PNMdqOx3Mf"" calls 4.00",2022-08-22T09:31:38.105Z,166116069810500
"""Robert @ zRtqW5d6Mc"" raises to 4.00",2022-08-22T09:31:36.654Z,166116069665400
"""Cal @ aFFqA9i1yY"" raises to 1.50",2022-08-22T09:31:33.699Z,166116069369900
"""Ryan @ YfVSqmNcRx"" folds",2022-08-22T09:31:30.212Z,166116069021200
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-08-22T09:31:29.715Z,166116068971500
"""John Theodore @ 3MpSNqwe7K"" folds",2022-08-22T09:31:28.773Z,166116068877300
"""Giocket Gings @ PNMdqOx3Mf"" posts a big blind of 0.50",2022-08-22T09:31:27.059Z,166116068705908
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-08-22T09:31:27.059Z,166116068705907
"Your hand is J♣, A♥",2022-08-22T09:31:27.059Z,166116068705904
"Player stacks: #2 ""Ryan @ YfVSqmNcRx"" (1.50) | #5 ""Cal @ aFFqA9i1yY"" (226.40) | #8 ""Robert @ zRtqW5d6Mc"" (53.66) | #9 ""Giocket Gings @ PNMdqOx3Mf"" (340.72) | #10 ""John Theodore @ 3MpSNqwe7K"" (218.08)",2022-08-22T09:31:27.059Z,166116068705901
"-- starting hand #315  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-08-22T09:31:27.059Z,166116068705900
"-- ending hand #314 --",2022-08-22T09:31:24.058Z,166116068405802
"""Giocket Gings @ PNMdqOx3Mf"" collected 1.25 from pot",2022-08-22T09:31:24.058Z,166116068405801
"Uncalled bet of 0.50 returned to ""Giocket Gings @ PNMdqOx3Mf""",2022-08-22T09:31:24.058Z,166116068405800
"""Robert @ zRtqW5d6Mc"" folds",2022-08-22T09:31:23.247Z,166116068324700
"""Cal @ aFFqA9i1yY"" folds",2022-08-22T09:31:21.152Z,166116068115200
"""Ryan @ YfVSqmNcRx"" folds",2022-08-22T09:31:20.181Z,166116068018100
"""John Theodore @ 3MpSNqwe7K"" folds",2022-08-22T09:31:07.905Z,166116066790500
"""Giocket Gings @ PNMdqOx3Mf"" posts a straddle of 1.00",2022-08-22T09:31:05.851Z,166116066585109
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-08-22T09:31:05.851Z,166116066585108
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-08-22T09:31:05.851Z,166116066585107
"Your hand is 3♥, 8♣",2022-08-22T09:31:05.851Z,166116066585104
