entry,at,order
"The player ""The Snozzle @ igDcbtr_jx"" stand up with the stack of 182.91.",2022-08-26T06:34:28.401Z,166149566840100
"""The Snozzle @ igDcbtr_jx"" shows a 6♥, 5♣.",2022-08-26T06:34:26.751Z,166149566675100
"-- ending hand #106 --",2022-08-26T06:34:24.702Z,166149566470202
"""Duncan @ ZNWCYkgSaC"" collected 15.36 from pot",2022-08-26T06:34:24.702Z,166149566470201
"Uncalled bet of 15.86 returned to ""Duncan @ ZNWCYkgSaC""",2022-08-26T06:34:24.702Z,166149566470200
"""McBluff @ 5tcvVo6jdw"" folds",2022-08-26T06:34:23.806Z,166149566380600
"""Duncan @ ZNWCYkgSaC"" raises to 21.29",2022-08-26T06:34:22.147Z,166149566214700
"""McBluff @ 5tcvVo6jdw"" bets 5.43",2022-08-26T06:34:09.704Z,166149564970400
"""Duncan @ ZNWCYkgSaC"" checks",2022-08-26T06:34:04.399Z,166149564439900
"River: 6♦, A♥, 5♥, 2♣ [J♦]",2022-08-26T06:33:57.587Z,166149563758700
"""Cal @ aFFqA9i1yY"" folds",2022-08-26T06:33:56.773Z,166149563677300
"""McBluff @ 5tcvVo6jdw"" calls 1.50",2022-08-26T06:33:53.634Z,166149563363400
"""Duncan @ ZNWCYkgSaC"" bets 1.50",2022-08-26T06:33:45.253Z,166149562525300
"""Cal @ aFFqA9i1yY"" checks",2022-08-26T06:33:35.886Z,166149561588600
"Turn: 6♦, A♥, 5♥ [2♣]",2022-08-26T06:33:30.137Z,166149561013700
"""McBluff @ 5tcvVo6jdw"" checks",2022-08-26T06:33:29.273Z,166149560927300
"""Duncan @ ZNWCYkgSaC"" checks",2022-08-26T06:33:27.158Z,166149560715800
"""Cal @ aFFqA9i1yY"" checks",2022-08-26T06:33:20.786Z,166149560078600
"Flop:  [6♦, A♥, 5♥]",2022-08-26T06:33:16.129Z,166149559612900
"""Duncan @ ZNWCYkgSaC"" checks",2022-08-26T06:33:15.253Z,166149559525300
"""Cal @ aFFqA9i1yY"" calls 0.50",2022-08-26T06:33:13.614Z,166149559361400
"""McBluff @ 5tcvVo6jdw"" calls 0.50",2022-08-26T06:33:11.326Z,166149559132600
"""The Snozzle @ igDcbtr_jx"" folds",2022-08-26T06:33:09.477Z,166149558947700
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-08-26T06:33:08.400Z,166149558840000
"""Duncan @ ZNWCYkgSaC"" posts a big blind of 0.50",2022-08-26T06:33:05.841Z,166149558584107
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-08-26T06:33:05.841Z,166149558584106
"Player stacks: #1 ""McBluff @ 5tcvVo6jdw"" (72.42) | #3 ""Cal @ aFFqA9i1yY"" (267.67) | #7 ""Duncan @ ZNWCYkgSaC"" (47.00) | #9 ""The Snozzle @ igDcbtr_jx"" (182.91)",2022-08-26T06:33:05.841Z,166149558584101
"-- starting hand #106  (No Limit Texas Hold'em) (dealer: ""McBluff @ 5tcvVo6jdw"") --",2022-08-26T06:33:05.841Z,166149558584100
"-- ending hand #105 --",2022-08-26T06:33:02.926Z,166149558292602
"""McBluff @ 5tcvVo6jdw"" collected 2.50 from pot",2022-08-26T06:33:02.926Z,166149558292601
"Uncalled bet of 5.80 returned to ""McBluff @ 5tcvVo6jdw""",2022-08-26T06:33:02.926Z,166149558292600
"""Duncan @ ZNWCYkgSaC"" folds",2022-08-26T06:33:02.103Z,166149558210300
"""McBluff @ 5tcvVo6jdw"" bets 5.80",2022-08-26T06:32:55.011Z,166149557501100
"River: 7♠, 8♣, 3♥, 6♣ [2♣]",2022-08-26T06:32:46.719Z,166149556671900
"""Cal @ aFFqA9i1yY"" folds",2022-08-26T06:32:45.853Z,166149556585300
"""McBluff @ 5tcvVo6jdw"" calls 0.50",2022-08-26T06:32:39.723Z,166149555972300
"""Duncan @ ZNWCYkgSaC"" bets 0.50",2022-08-26T06:32:36.901Z,166149555690100
"""Cal @ aFFqA9i1yY"" checks",2022-08-26T06:32:32.744Z,166149555274400
"""McBluff @ 5tcvVo6jdw"" checks",2022-08-26T06:32:28.894Z,166149554889400
"Turn: 7♠, 8♣, 3♥ [6♣]",2022-08-26T06:32:26.820Z,166149554682000
"""Duncan @ ZNWCYkgSaC"" checks",2022-08-26T06:32:25.924Z,166149554592400
"""Cal @ aFFqA9i1yY"" checks",2022-08-26T06:32:23.373Z,166149554337300
"""McBluff @ 5tcvVo6jdw"" checks",2022-08-26T06:32:21.243Z,166149554124300
"Flop:  [7♠, 8♣, 3♥]",2022-08-26T06:32:16.501Z,166149553650100
"""Cal @ aFFqA9i1yY"" checks",2022-08-26T06:32:15.676Z,166149553567600
"""McBluff @ 5tcvVo6jdw"" calls 0.50",2022-08-26T06:32:10.102Z,166149553010200
"""The Snozzle @ igDcbtr_jx"" folds",2022-08-26T06:32:09.113Z,166149552911300
"""Duncan @ ZNWCYkgSaC"" calls 0.50",2022-08-26T06:32:05.829Z,166149552582900
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-08-26T06:32:02.281Z,166149552228108
"""McBluff @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-08-26T06:32:02.281Z,166149552228107
"Player stacks: #1 ""McBluff @ 5tcvVo6jdw"" (70.92) | #3 ""Cal @ aFFqA9i1yY"" (268.17) | #7 ""Duncan @ ZNWCYkgSaC"" (48.00) | #9 ""The Snozzle @ igDcbtr_jx"" (182.91)",2022-08-26T06:32:02.281Z,166149552228102
"-- starting hand #105  (No Limit Texas Hold'em) (dealer: ""The Snozzle @ igDcbtr_jx"") --",2022-08-26T06:32:02.281Z,166149552228101
"The player ""griffin @ 2LT_LriXX5"" quits the game with a stack of 0.00.",2022-08-26T06:32:02.281Z,166149552228100
"-- ending hand #104 --",2022-08-26T06:31:56.203Z,166149551620301
"""The Snozzle @ igDcbtr_jx"" collected 92.42 from pot with Full House, 10's over 9's (combination: 10♥, 10♣, 10♠, 9♣, 9♦)",2022-08-26T06:31:56.203Z,166149551620300
"River: 10♣, 2♦, 10♠, 9♣ [9♦]",2022-08-26T06:31:52.200Z,166149551220000
"""The Snozzle @ igDcbtr_jx"" shows a J♥, 10♥.",2022-08-26T06:31:48.195Z,166149550819501
"""griffin @ 2LT_LriXX5"" shows a J♠, Q♥.",2022-08-26T06:31:48.195Z,166149550819500
"Some players choose to not run it twice.",2022-08-26T06:31:47.304Z,166149550730401
"""The Snozzle @ igDcbtr_jx"" chooses to not run it twice.",2022-08-26T06:31:47.304Z,166149550730400
"Remaining players decide whether to run it twice.",2022-08-26T06:31:45.365Z,166149550536501
"""The Snozzle @ igDcbtr_jx"" calls 30.94",2022-08-26T06:31:45.365Z,166149550536500
"""griffin @ 2LT_LriXX5"" bets 30.94 and go all in",2022-08-26T06:31:39.583Z,166149549958300
"""The Snozzle @ igDcbtr_jx"" checks",2022-08-26T06:31:27.290Z,166149548729000
"Turn: 10♣, 2♦, 10♠ [9♣]",2022-08-26T06:31:22.964Z,166149548296400
"""McBluff @ 5tcvVo6jdw"" folds",2022-08-26T06:31:22.144Z,166149548214400
"""The Snozzle @ igDcbtr_jx"" calls 9.16",2022-08-26T06:31:19.991Z,166149547999100
"""griffin @ 2LT_LriXX5"" bets 9.16",2022-08-26T06:31:14.717Z,166149547471700
"""McBluff @ 5tcvVo6jdw"" checks",2022-08-26T06:31:08.980Z,166149546898000
"""The Snozzle @ igDcbtr_jx"" checks",2022-08-26T06:31:05.571Z,166149546557100
"Flop:  [10♣, 2♦, 10♠]",2022-08-26T06:31:02.552Z,166149546255200
"""The Snozzle @ igDcbtr_jx"" calls 3.74",2022-08-26T06:31:01.740Z,166149546174000
"""griffin @ 2LT_LriXX5"" calls 3.74",2022-08-26T06:31:00.417Z,166149546041700
"""Cal @ aFFqA9i1yY"" folds",2022-08-26T06:30:58.582Z,166149545858200
"""McBluff @ 5tcvVo6jdw"" raises to 3.74",2022-08-26T06:30:52.444Z,166149545244400
"""The Snozzle @ igDcbtr_jx"" calls 2.37",2022-08-26T06:30:45.965Z,166149544596500
"""Duncan @ ZNWCYkgSaC"" folds",2022-08-26T06:30:44.369Z,166149544436900
"""griffin @ 2LT_LriXX5"" raises to 2.37",2022-08-26T06:30:40.268Z,166149544026800
"""Cal @ aFFqA9i1yY"" posts a straddle of 1.00",2022-08-26T06:30:32.027Z,166149543202709
"""McBluff @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-08-26T06:30:32.027Z,166149543202708
"""The Snozzle @ igDcbtr_jx"" posts a small blind of 0.25",2022-08-26T06:30:32.027Z,166149543202707
