entry,at,order
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-08-29T08:08:25.431Z,166176050543100
"-- ending hand #208 --",2022-08-29T08:08:20.577Z,166176050057703
"""McPhil @ 5tcvVo6jdw"" shows a 6♦, K♠.",2022-08-29T08:08:20.577Z,166176050057702
"""Duncan @ cqZiV-Wp5I"" collected 13.00 from pot with Pair, 8's (combination: 8♦, 8♥, Q♠, J♥, 7♠)",2022-08-29T08:08:20.577Z,166176050057701
"""Duncan @ cqZiV-Wp5I"" shows a 8♦, 5♦.",2022-08-29T08:08:20.577Z,166176050057700
"""Duncan @ cqZiV-Wp5I"" checks",2022-08-29T08:08:19.726Z,166176049972600
"""McPhil @ 5tcvVo6jdw"" checks",2022-08-29T08:08:16.688Z,166176049668800
"River: Q♠, 7♠, 8♥, J♥ [6♠]",2022-08-29T08:08:14.377Z,166176049437700
"""Duncan @ cqZiV-Wp5I"" checks",2022-08-29T08:08:13.557Z,166176049355700
"""McPhil @ 5tcvVo6jdw"" checks",2022-08-29T08:08:10.109Z,166176049010900
"Turn: Q♠, 7♠, 8♥ [J♥]",2022-08-29T08:08:07.973Z,166176048797300
"""Robert @ zRtqW5d6Mc"" folds",2022-08-29T08:08:07.064Z,166176048706400
"""Duncan @ cqZiV-Wp5I"" calls 3.25",2022-08-29T08:08:05.246Z,166176048524600
"""McPhil @ 5tcvVo6jdw"" bets 3.25",2022-08-29T08:08:01.991Z,166176048199100
"""Robert @ zRtqW5d6Mc"" checks",2022-08-29T08:07:55.547Z,166176047554700
"Flop:  [Q♠, 7♠, 8♥]",2022-08-29T08:07:52.663Z,166176047266300
"""Duncan @ cqZiV-Wp5I"" calls 2.00",2022-08-29T08:07:51.832Z,166176047183200
"""McPhil @ 5tcvVo6jdw"" calls 2.00",2022-08-29T08:07:50.421Z,166176047042100
"""Cal @ aFFqA9i1yY"" folds",2022-08-29T08:07:49.004Z,166176046900400
"""Robert @ zRtqW5d6Mc"" raises to 2.00",2022-08-29T08:07:42.212Z,166176046221200
"""Duncan @ cqZiV-Wp5I"" calls 0.50",2022-08-29T08:07:38.923Z,166176045892300
"""McPhil @ 5tcvVo6jdw"" calls 0.50",2022-08-29T08:07:36.875Z,166176045687500
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-08-29T08:07:34.143Z,166176045414307
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-08-29T08:07:34.143Z,166176045414306
"Your hand is A♥, 10♣",2022-08-29T08:07:34.143Z,166176045414305
"Player stacks: #1 ""Cal @ aFFqA9i1yY"" (105.17) | #2 ""McPhil @ 5tcvVo6jdw"" (107.98) | #3 ""Duncan @ cqZiV-Wp5I"" (67.02) | #5 ""Robert @ zRtqW5d6Mc"" (109.83)",2022-08-29T08:07:34.143Z,166176045414301
"-- starting hand #208  (No Limit Texas Hold'em) (dealer: ""Duncan @ cqZiV-Wp5I"") --",2022-08-29T08:07:34.143Z,166176045414300
"-- ending hand #207 --",2022-08-29T08:07:31.142Z,166176045114202
"""Cal @ aFFqA9i1yY"" collected 4.50 from pot",2022-08-29T08:07:31.142Z,166176045114201
"Uncalled bet of 1.50 returned to ""Cal @ aFFqA9i1yY""",2022-08-29T08:07:31.142Z,166176045114200
"""Duncan @ cqZiV-Wp5I"" folds",2022-08-29T08:07:30.281Z,166176045028100
"""Cal @ aFFqA9i1yY"" bets 1.50",2022-08-29T08:07:17.163Z,166176043716300
"""Duncan @ cqZiV-Wp5I"" checks",2022-08-29T08:07:10.210Z,166176043021000
"Flop:  [K♣, 8♥, 4♠]",2022-08-29T08:06:54.506Z,166176041450600
"""Robert @ zRtqW5d6Mc"" folds",2022-08-29T08:06:53.600Z,166176041360000
"""Duncan @ cqZiV-Wp5I"" calls 2.00",2022-08-29T08:06:50.229Z,166176041022900
"""McPhil @ 5tcvVo6jdw"" folds",2022-08-29T08:06:48.855Z,166176040885500
"""Cal @ aFFqA9i1yY"" raises to 2.00",2022-08-29T08:06:47.944Z,166176040794400
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-08-29T08:06:44.691Z,166176040469107
