entry,at,order
"""McBluff @ 5tcvVo6jdw"" shows a 7♣, 8♣.",2022-09-12T08:46:08.495Z,166297236849500
"-- ending hand #269 --",2022-09-12T08:46:07.493Z,166297236749302
"""McBluff @ 5tcvVo6jdw"" collected 30.97 from pot",2022-09-12T08:46:07.493Z,166297236749301
"Uncalled bet of 7.74 returned to ""McBluff @ 5tcvVo6jdw""",2022-09-12T08:46:07.493Z,166297236749300
"""Cal @ aFFqA9i1yY"" folds",2022-09-12T08:46:06.548Z,166297236654800
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-12T08:45:50.629Z,166297235062900
"""McBluff @ 5tcvVo6jdw"" raises to 15.48",2022-09-12T08:45:25.917Z,166297232591700
"""Cal @ aFFqA9i1yY"" bets 7.74",2022-09-12T08:45:21.824Z,166297232182400
"River: 3♦, 5♣, J♣, 2♥ [5♦]",2022-09-12T08:45:16.237Z,166297231623700
"""McBluff @ 5tcvVo6jdw"" checks",2022-09-12T08:45:15.386Z,166297231538600
"""Cal @ aFFqA9i1yY"" checks",2022-09-12T08:45:14.098Z,166297231409800
"Turn: 3♦, 5♣, J♣ [2♥]",2022-09-12T08:45:12.830Z,166297231283000
"""Cal @ aFFqA9i1yY"" calls 3.87",2022-09-12T08:45:11.931Z,166297231193100
"""McBluff @ 5tcvVo6jdw"" bets 3.87",2022-09-12T08:45:09.888Z,166297230988800
"""Cal @ aFFqA9i1yY"" checks",2022-09-12T08:45:06.886Z,166297230688600
"Flop:  [3♦, 5♣, J♣]",2022-09-12T08:45:04.225Z,166297230422500
"""Cal @ aFFqA9i1yY"" calls 3.50",2022-09-12T08:45:03.383Z,166297230338300
"""Robert @ zRtqW5d6Mc"" folds",2022-09-12T08:45:00.868Z,166297230086800
"""Rob @ L5KRSxrX9f"" folds",2022-09-12T08:44:59.745Z,166297229974500
"""Jt @ txg336az0c"" folds",2022-09-12T08:44:58.580Z,166297229858000
"""McBluff @ 5tcvVo6jdw"" raises to 3.50",2022-09-12T08:44:55.363Z,166297229536300
"""Cal @ aFFqA9i1yY"" raises to 2.00",2022-09-12T08:44:52.427Z,166297229242700
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-09-12T08:44:49.423Z,166297228942308
"""Rob @ L5KRSxrX9f"" posts a small blind of 0.25",2022-09-12T08:44:49.423Z,166297228942307
"Your hand is J♦, 9♠",2022-09-12T08:44:49.423Z,166297228942303
"Player stacks: #1 ""Rob @ L5KRSxrX9f"" (40.93) | #2 ""Robert @ zRtqW5d6Mc"" (251.65) | #3 ""Cal @ aFFqA9i1yY"" (171.07) | #6 ""McBluff @ 5tcvVo6jdw"" (185.23) | #8 ""Jt @ txg336az0c"" (473.75)",2022-09-12T08:44:49.423Z,166297228942301
"-- starting hand #269  (No Limit Texas Hold'em) (dealer: ""Jt @ txg336az0c"") --",2022-09-12T08:44:49.423Z,166297228942300
"""McBluff @ 5tcvVo6jdw"" shows a 5♣, A♥.",2022-09-12T08:44:46.762Z,166297228676200
"-- ending hand #268 --",2022-09-12T08:44:45.652Z,166297228565202
"""Rob @ L5KRSxrX9f"" collected 1.25 from pot with Pair, 3's (combination: 3♠, 3♣, K♥, Q♠, 9♦)",2022-09-12T08:44:45.652Z,166297228565201
"""Rob @ L5KRSxrX9f"" shows a 5♠, 3♠.",2022-09-12T08:44:45.652Z,166297228565200
"""McBluff @ 5tcvVo6jdw"" checks",2022-09-12T08:44:44.848Z,166297228484800
"""Rob @ L5KRSxrX9f"" checks",2022-09-12T08:44:38.527Z,166297227852700
"River: Q♠, 9♦, 3♣, K♥ [7♦]",2022-09-12T08:44:37.205Z,166297227720500
"""McBluff @ 5tcvVo6jdw"" checks",2022-09-12T08:44:36.370Z,166297227637000
"""Rob @ L5KRSxrX9f"" checks",2022-09-12T08:44:35.377Z,166297227537700
"Turn: Q♠, 9♦, 3♣ [K♥]",2022-09-12T08:44:35.007Z,166297227500700
"""McBluff @ 5tcvVo6jdw"" checks",2022-09-12T08:44:34.134Z,166297227413400
"""Rob @ L5KRSxrX9f"" checks",2022-09-12T08:44:31.810Z,166297227181000
"Flop:  [Q♠, 9♦, 3♣]",2022-09-12T08:44:30.204Z,166297227020400
"""Rob @ L5KRSxrX9f"" checks",2022-09-12T08:44:29.294Z,166297226929400
"""Jt @ txg336az0c"" folds",2022-09-12T08:44:28.150Z,166297226815000
"""McBluff @ 5tcvVo6jdw"" calls 0.50",2022-09-12T08:44:27.163Z,166297226716300
"""Cal @ aFFqA9i1yY"" folds",2022-09-12T08:44:25.698Z,166297226569800
"""Robert @ zRtqW5d6Mc"" folds",2022-09-12T08:44:24.683Z,166297226468300
"""Rob @ L5KRSxrX9f"" posts a big blind of 0.50",2022-09-12T08:44:22.834Z,166297226283408
"""Jt @ txg336az0c"" posts a small blind of 0.25",2022-09-12T08:44:22.834Z,166297226283407
"Your hand is J♣, 9♥",2022-09-12T08:44:22.834Z,166297226283403
"Player stacks: #1 ""Rob @ L5KRSxrX9f"" (40.18) | #2 ""Robert @ zRtqW5d6Mc"" (251.65) | #3 ""Cal @ aFFqA9i1yY"" (171.07) | #6 ""McBluff @ 5tcvVo6jdw"" (185.73) | #8 ""Jt @ txg336az0c"" (474.00)",2022-09-12T08:44:22.834Z,166297226283401
"-- starting hand #268  (No Limit Texas Hold'em) (dealer: ""McBluff @ 5tcvVo6jdw"") --",2022-09-12T08:44:22.834Z,166297226283400
"""Rob @ L5KRSxrX9f"" shows a 7♥, K♠.",2022-09-12T08:44:20.016Z,166297226001600
"-- ending hand #267 --",2022-09-12T08:44:19.197Z,166297225919702
"""Rob @ L5KRSxrX9f"" collected 1.25 from pot",2022-09-12T08:44:19.197Z,166297225919701
"Uncalled bet of 38.93 returned to ""Rob @ L5KRSxrX9f""",2022-09-12T08:44:19.197Z,166297225919700
"""Jt @ txg336az0c"" folds",2022-09-12T08:44:18.332Z,166297225833200
"""McBluff @ 5tcvVo6jdw"" folds",2022-09-12T08:44:17.389Z,166297225738900
"""Cal @ aFFqA9i1yY"" folds",2022-09-12T08:44:14.946Z,166297225494600
"""Robert @ zRtqW5d6Mc"" folds",2022-09-12T08:44:13.718Z,166297225371800
"""Rob @ L5KRSxrX9f"" raises to 39.43 and go all in",2022-09-12T08:44:12.683Z,166297225268300
"""Jt @ txg336az0c"" posts a big blind of 0.50",2022-09-12T08:44:09.795Z,166297224979508
"""McBluff @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-09-12T08:44:09.795Z,166297224979507
"Your hand is 2♦, 7♦",2022-09-12T08:44:09.795Z,166297224979503
"Player stacks: #1 ""Rob @ L5KRSxrX9f"" (39.43) | #2 ""Robert @ zRtqW5d6Mc"" (251.65) | #3 ""Cal @ aFFqA9i1yY"" (171.07) | #6 ""McBluff @ 5tcvVo6jdw"" (185.98) | #8 ""Jt @ txg336az0c"" (474.50)",2022-09-12T08:44:09.795Z,166297224979501
"-- starting hand #267  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-09-12T08:44:09.795Z,166297224979500
"-- ending hand #266 --",2022-09-12T08:44:06.787Z,166297224678702
"""Rob @ L5KRSxrX9f"" collected 1.75 from pot",2022-09-12T08:44:06.787Z,166297224678701
"Uncalled bet of 37.68 returned to ""Rob @ L5KRSxrX9f""",2022-09-12T08:44:06.787Z,166297224678700
"""Jt @ txg336az0c"" folds",2022-09-12T08:44:05.932Z,166297224593200
"""McBluff @ 5tcvVo6jdw"" folds",2022-09-12T08:44:04.908Z,166297224490800
"""Cal @ aFFqA9i1yY"" folds",2022-09-12T08:44:03.544Z,166297224354400
"""Robert @ zRtqW5d6Mc"" folds",2022-09-12T08:44:02.299Z,166297224229900
"""Rob @ L5KRSxrX9f"" raises to 38.18 and go all in",2022-09-12T08:44:01.356Z,166297224135600
"""Jt @ txg336az0c"" calls 0.50",2022-09-12T08:43:58.247Z,166297223824700
"""McBluff @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-09-12T08:43:56.390Z,166297223639008
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-09-12T08:43:56.390Z,166297223639007
"Your hand is J♥, 4♣",2022-09-12T08:43:56.390Z,166297223639003
"Player stacks: #1 ""Rob @ L5KRSxrX9f"" (38.18) | #2 ""Robert @ zRtqW5d6Mc"" (251.65) | #3 ""Cal @ aFFqA9i1yY"" (171.32) | #6 ""McBluff @ 5tcvVo6jdw"" (186.48) | #8 ""Jt @ txg336az0c"" (475.00)",2022-09-12T08:43:56.390Z,166297223639001
"-- starting hand #266  (No Limit Texas Hold'em) (dealer: ""Robert @ zRtqW5d6Mc"") --",2022-09-12T08:43:56.390Z,166297223639000
"""Jt @ txg336az0c"" shows a K♣, K♥.",2022-09-12T08:43:53.482Z,166297223348200
"-- ending hand #265 --",2022-09-12T08:43:52.778Z,166297223277802
"""Jt @ txg336az0c"" collected 1.25 from pot",2022-09-12T08:43:52.778Z,166297223277801
"Uncalled bet of 4.50 returned to ""Jt @ txg336az0c""",2022-09-12T08:43:52.778Z,166297223277800
"""Cal @ aFFqA9i1yY"" folds",2022-09-12T08:43:51.906Z,166297223190600
"""Robert @ zRtqW5d6Mc"" folds",2022-09-12T08:43:50.095Z,166297223009500
"""Rob @ L5KRSxrX9f"" folds",2022-09-12T08:43:49.114Z,166297222911400
"""Jt @ txg336az0c"" raises to 5.00",2022-09-12T08:43:47.946Z,166297222794600
"""McBluff @ 5tcvVo6jdw"" folds",2022-09-12T08:43:38.315Z,166297221831500
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-09-12T08:43:35.964Z,166297221596408
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-09-12T08:43:35.964Z,166297221596407
"Your hand is 8♥, 10♥",2022-09-12T08:43:35.964Z,166297221596403
"Player stacks: #1 ""Rob @ L5KRSxrX9f"" (38.18) | #2 ""Robert @ zRtqW5d6Mc"" (251.90) | #3 ""Cal @ aFFqA9i1yY"" (171.82) | #6 ""McBluff @ 5tcvVo6jdw"" (186.48) | #8 ""Jt @ txg336az0c"" (474.25)",2022-09-12T08:43:35.964Z,166297221596401
"-- starting hand #265  (No Limit Texas Hold'em) (dealer: ""Rob @ L5KRSxrX9f"") --",2022-09-12T08:43:35.964Z,166297221596400
"-- ending hand #264 --",2022-09-12T08:43:32.804Z,166297221280403
"""Cal @ aFFqA9i1yY"" shows a 7♦, 9♦.",2022-09-12T08:43:32.804Z,166297221280402
"""Jt @ txg336az0c"" collected 16.24 from pot with K High (combination: K♠, Q♠, J♥, 10♠, 8♦)",2022-09-12T08:43:32.804Z,166297221280401
"""Jt @ txg336az0c"" shows a 10♠, K♠.",2022-09-12T08:43:32.804Z,166297221280400
"""Jt @ txg336az0c"" checks",2022-09-12T08:43:32.002Z,166297221200200
"""Cal @ aFFqA9i1yY"" checks",2022-09-12T08:43:30.474Z,166297221047400
"River: Q♠, 8♦, 5♣, J♥ [4♣]",2022-09-12T08:43:14.935Z,166297219493500
"""Rob @ L5KRSxrX9f"" folds",2022-09-12T08:43:14.029Z,166297219402900
"""Jt @ txg336az0c"" calls 4.87",2022-09-12T08:43:13.129Z,166297219312900
