entry,at,order
"-- ending hand #131 --",2022-09-22T07:22:49.708Z,166383136970803
"""Rob @ L5KRSxrX9f"" shows a 3♠, J♠.",2022-09-22T07:22:49.708Z,166383136970802
"""Chunk @ MDesXqTc_C"" collected 3.00 from pot with Pair, 7's (combination: 7♣, 7♥, A♥, Q♥, 10♥)",2022-09-22T07:22:49.708Z,166383136970801
"""Chunk @ MDesXqTc_C"" shows a 7♣, Q♥.",2022-09-22T07:22:49.708Z,166383136970800
"""Chunk @ MDesXqTc_C"" checks",2022-09-22T07:22:48.798Z,166383136879800
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:22:47.363Z,166383136736300
"River: 6♦, 2♦, 10♥, 7♥ [A♥]",2022-09-22T07:22:45.398Z,166383136539800
"""Rob @ L5KRSxrX9f"" calls 1.00",2022-09-22T07:22:44.521Z,166383136452100
"""Chunk @ MDesXqTc_C"" bets 1.00",2022-09-22T07:22:43.372Z,166383136337200
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:22:38.531Z,166383135853100
"Turn: 6♦, 2♦, 10♥ [7♥]",2022-09-22T07:22:37.902Z,166383135790200
"""Chunk @ MDesXqTc_C"" checks",2022-09-22T07:22:37.032Z,166383135703200
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:22:35.152Z,166383135515200
"Flop:  [6♦, 2♦, 10♥]",2022-09-22T07:22:33.298Z,166383135329800
"""Chunk @ MDesXqTc_C"" checks",2022-09-22T07:22:32.415Z,166383135241500
"""Rob @ L5KRSxrX9f"" calls 0.50",2022-09-22T07:22:30.389Z,166383135038900
"""TheJoker @ Onfdbbb7Gs"" folds",2022-09-22T07:22:28.292Z,166383134829200
"""Cal @ aFFqA9i1yY"" folds",2022-09-22T07:22:27.327Z,166383134732700
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-22T07:22:25.671Z,166383134567100
"""Chunk @ MDesXqTc_C"" posts a big blind of 0.50",2022-09-22T07:22:23.484Z,166383134348407
"""Rob @ L5KRSxrX9f"" posts a small blind of 0.25",2022-09-22T07:22:23.484Z,166383134348406
"Player stacks: #1 ""TheJoker @ Onfdbbb7Gs"" (270.90) | #2 ""Rob @ L5KRSxrX9f"" (277.13) | #3 ""Chunk @ MDesXqTc_C"" (230.62) | #4 ""Cal @ aFFqA9i1yY"" (124.40)",2022-09-22T07:22:23.484Z,166383134348401
"-- starting hand #131  (No Limit Texas Hold'em) (dealer: ""TheJoker @ Onfdbbb7Gs"") --",2022-09-22T07:22:23.484Z,166383134348400
"-- ending hand #130 --",2022-09-22T07:22:20.482Z,166383134048201
"""Rob @ L5KRSxrX9f"" collected 1.00 from pot",2022-09-22T07:22:20.482Z,166383134048200
"""TheJoker @ Onfdbbb7Gs"" folds",2022-09-22T07:22:19.642Z,166383133964200
"Flop:  [J♠, A♣, K♠]",2022-09-22T07:22:16.371Z,166383133637100
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:22:15.487Z,166383133548700
"""TheJoker @ Onfdbbb7Gs"" calls 0.50",2022-09-22T07:22:12.450Z,166383133245000
"""Cal @ aFFqA9i1yY"" folds",2022-09-22T07:22:10.046Z,166383133004600
"""Chunk @ MDesXqTc_C"" folds",2022-09-22T07:22:04.516Z,166383132451600
"""Rob @ L5KRSxrX9f"" posts a big blind of 0.50",2022-09-22T07:22:03.062Z,166383132306207
"""TheJoker @ Onfdbbb7Gs"" posts a small blind of 0.25",2022-09-22T07:22:03.062Z,166383132306206
"Player stacks: #1 ""TheJoker @ Onfdbbb7Gs"" (271.40) | #2 ""Rob @ L5KRSxrX9f"" (276.63) | #3 ""Chunk @ MDesXqTc_C"" (230.62) | #4 ""Cal @ aFFqA9i1yY"" (124.40)",2022-09-22T07:22:03.062Z,166383132306201
"-- starting hand #130  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-09-22T07:22:03.062Z,166383132306200
"-- ending hand #129 --",2022-09-22T07:21:57.055Z,166383131705502
"""TheJoker @ Onfdbbb7Gs"" collected 13.79 from pot with Pair, 8's (combination: 8♠, 8♣, A♥, J♣, 6♣)",2022-09-22T07:21:57.055Z,166383131705501
"""TheJoker @ Onfdbbb7Gs"" shows a 8♠, 8♣.",2022-09-22T07:21:57.055Z,166383131705500
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:21:56.249Z,166383131624900
"""TheJoker @ Onfdbbb7Gs"" checks",2022-09-22T07:21:53.190Z,166383131319000
"River: 3♦, 6♣, J♣, 5♠ [A♥]",2022-09-22T07:21:47.635Z,166383130763500
"""Chunk @ MDesXqTc_C"" folds",2022-09-22T07:21:46.775Z,166383130677500
"""Rob @ L5KRSxrX9f"" calls 3.77",2022-09-22T07:21:44.914Z,166383130491400
"""TheJoker @ Onfdbbb7Gs"" bets 3.77",2022-09-22T07:21:43.823Z,166383130382300
"Turn: 3♦, 6♣, J♣ [5♠]",2022-09-22T07:21:38.546Z,166383129854600
"""Chunk @ MDesXqTc_C"" checks",2022-09-22T07:21:37.697Z,166383129769700
"""Rob @ L5KRSxrX9f"" checks",2022-09-22T07:21:34.897Z,166383129489700
"""TheJoker @ Onfdbbb7Gs"" checks",2022-09-22T07:21:33.566Z,166383129356600
"Flop:  [3♦, 6♣, J♣]",2022-09-22T07:21:30.541Z,166383129054100
"""Rob @ L5KRSxrX9f"" calls 2.00",2022-09-22T07:21:29.718Z,166383128971800
"""TheJoker @ Onfdbbb7Gs"" calls 2.00",2022-09-22T07:21:28.752Z,166383128875200
"""Cal @ aFFqA9i1yY"" folds",2022-09-22T07:21:25.690Z,166383128569000
