entry,at,order
"""Robert @ zRtqW5d6Mc"" shows a K♠, 10♠.",2022-09-27T08:45:26.444Z,166426832644400
"-- ending hand #197 --",2022-09-27T08:45:23.893Z,166426832389302
"""ChunkNasty @ cqZiV-Wp5I"" collected 74.74 from pot with Two Pair, A's & 4's (combination: A♥, A♠, 4♣, 4♦, Q♥)",2022-09-27T08:45:23.893Z,166426832389301
"""ChunkNasty @ cqZiV-Wp5I"" shows a Q♥, A♥.",2022-09-27T08:45:23.893Z,166426832389300
"""Robert @ zRtqW5d6Mc"" checks",2022-09-27T08:45:23.016Z,166426832301600
"""ChunkNasty @ cqZiV-Wp5I"" checks",2022-09-27T08:45:20.350Z,166426832035000
"River: 3♠, A♠, 4♣, 10♦ [4♦]",2022-09-27T08:44:58.566Z,166426829856600
"""Robert @ zRtqW5d6Mc"" checks",2022-09-27T08:44:57.725Z,166426829772500
"""ChunkNasty @ cqZiV-Wp5I"" checks",2022-09-27T08:44:55.653Z,166426829565300
"Turn: 3♠, A♠, 4♣ [10♦]",2022-09-27T08:44:35.046Z,166426827504600
"""Cal @ aFFqA9i1yY"" folds",2022-09-27T08:44:34.195Z,166426827419500
"""Robert @ zRtqW5d6Mc"" calls 18.08",2022-09-27T08:44:30.010Z,166426827001000
"""ChunkNasty @ cqZiV-Wp5I"" bets 18.08",2022-09-27T08:44:27.071Z,166426826707100
"""Cal @ aFFqA9i1yY"" checks",2022-09-27T08:44:11.835Z,166426825183500
"Flop:  [3♠, A♠, 4♣]",2022-09-27T08:44:09.510Z,166426824951000
"""Cal @ aFFqA9i1yY"" calls 12.86",2022-09-27T08:44:08.628Z,166426824862800
"""Robert @ zRtqW5d6Mc"" calls 12.86",2022-09-27T08:44:03.768Z,166426824376800
"""ChunkNasty @ cqZiV-Wp5I"" raises to 12.86",2022-09-27T08:43:59.979Z,166426823997900
"""Cal @ aFFqA9i1yY"" raises to 4.68",2022-09-27T08:43:40.294Z,166426822029400
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-27T08:43:35.006Z,166426821500600
"""TheJoker @ Onfdbbb7Gs"" folds",2022-09-27T08:43:33.183Z,166426821318300
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-09-27T08:43:32.208Z,166426821220800
"""Phil @ 5tcvVo6jdw"" folds",2022-09-27T08:43:26.902Z,166426820690200
"""ChunkNasty @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-09-27T08:43:25.769Z,166426820576908
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-09-27T08:43:25.769Z,166426820576907
"Your hand is K♠, 10♠",2022-09-27T08:43:25.769Z,166426820576903
"Player stacks: #1 ""Phil @ 5tcvVo6jdw"" (64.75) | #2 ""Robert @ zRtqW5d6Mc"" (272.06) | #5 ""TheJoker @ Onfdbbb7Gs"" (329.10) | #7 ""Cal @ aFFqA9i1yY"" (93.30) | #8 ""ChunkNasty @ cqZiV-Wp5I"" (546.66)",2022-09-27T08:43:25.769Z,166426820576901
"-- starting hand #197  (No Limit Texas Hold'em) (dealer: ""TheJoker @ Onfdbbb7Gs"") --",2022-09-27T08:43:25.769Z,166426820576900
