entry,at,order
"The player ""Cal @ aFFqA9i1yY"" passed the room ownership to ""henny hampton @ 5tcvVo6jdw"".",2022-09-29T09:18:13.924Z,166444309392400
"-- ending hand #233 --",2022-09-29T09:01:59.025Z,166444211902502
"""ChunkNasty @ cqZiV-Wp5I"" collected 10.82 from pot",2022-09-29T09:01:59.025Z,166444211902501
"Uncalled bet of 10.82 returned to ""ChunkNasty @ cqZiV-Wp5I""",2022-09-29T09:01:59.025Z,166444211902500
"""henny hampton @ 5tcvVo6jdw"" folds",2022-09-29T09:01:58.144Z,166444211814400
"""ChunkNasty @ cqZiV-Wp5I"" bets 10.82",2022-09-29T09:01:56.250Z,166444211625000
"Turn: 5♠, 9♠, 5♣ [7♣]",2022-09-29T09:01:41.526Z,166444210152600
"""henny hampton @ 5tcvVo6jdw"" checks",2022-09-29T09:01:40.716Z,166444210071600
"""ChunkNasty @ cqZiV-Wp5I"" checks",2022-09-29T09:01:38.786Z,166444209878600
"Flop:  [5♠, 9♠, 5♣]",2022-09-29T09:01:28.713Z,166444208871300
"""Norton @ b-rzQC2EYl"" folds",2022-09-29T09:01:27.829Z,166444208782900
"""henny hampton @ 5tcvVo6jdw"" calls 4.85",2022-09-29T09:01:26.336Z,166444208633600
"""ChunkNasty @ cqZiV-Wp5I"" raises to 4.85",2022-09-29T09:01:23.326Z,166444208332600
"""Norton @ b-rzQC2EYl"" calls 1.12",2022-09-29T09:01:12.184Z,166444207218400
"""henny hampton @ 5tcvVo6jdw"" raises to 1.12",2022-09-29T09:01:10.189Z,166444207018900
"The player ""Dj jT @ kazNAc2EWn"" sit back with the stack of 224.18.",2022-09-29T09:01:09.432Z,166444206943200
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-29T09:01:07.848Z,166444206784800
"""ChunkNasty @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-09-29T09:01:06.599Z,166444206659907
"""Norton @ b-rzQC2EYl"" posts a small blind of 0.25",2022-09-29T09:01:06.599Z,166444206659906
"Player stacks: #8 ""Norton @ b-rzQC2EYl"" (154.43) | #9 ""ChunkNasty @ cqZiV-Wp5I"" (71.40) | #10 ""henny hampton @ 5tcvVo6jdw"" (218.87)",2022-09-29T09:01:06.599Z,166444206659902
"-- starting hand #233  (No Limit Texas Hold'em) (dead button) --",2022-09-29T09:01:06.599Z,166444206659901
"The player ""Dj jT @ kazNAc2EWn"" stand up with the stack of 224.18.",2022-09-29T09:01:06.599Z,166444206659900
"""ChunkNasty @ cqZiV-Wp5I"" shows a A♥, 10♣.",2022-09-29T09:01:05.303Z,166444206530300
"-- ending hand #232 --",2022-09-29T09:01:02.990Z,166444206299002
"""henny hampton @ 5tcvVo6jdw"" collected 7.85 from pot",2022-09-29T09:01:02.990Z,166444206299001
"Uncalled bet of 3.92 returned to ""henny hampton @ 5tcvVo6jdw""",2022-09-29T09:01:02.990Z,166444206299000
"""ChunkNasty @ cqZiV-Wp5I"" folds",2022-09-29T09:01:02.143Z,166444206214300
"""henny hampton @ 5tcvVo6jdw"" bets 3.92",2022-09-29T09:00:14.603Z,166444201460300
"""ChunkNasty @ cqZiV-Wp5I"" checks",2022-09-29T09:00:11.035Z,166444201103500
"River: 2♦, 5♣, 8♥, 6♥ [K♠]",2022-09-29T09:00:02.238Z,166444200223800
"""henny hampton @ 5tcvVo6jdw"" calls 2.05",2022-09-29T09:00:01.365Z,166444200136500
"""ChunkNasty @ cqZiV-Wp5I"" bets 2.05",2022-09-29T09:00:00.071Z,166444200007100
"Turn: 2♦, 5♣, 8♥ [6♥]",2022-09-29T08:59:53.511Z,166444199351100
"""henny hampton @ 5tcvVo6jdw"" checks",2022-09-29T08:59:52.673Z,166444199267300
