entry,at,order
"-- ending hand #160 --",2022-09-05T07:13:13.016Z,166236199301602
"""The Snozzle @ igDcbtr_jx"" collected 1.50 from pot with A High (combination: A♠, K♣, J♥, 8♦, 7♥)",2022-09-05T07:13:13.016Z,166236199301601
"""The Snozzle @ igDcbtr_jx"" shows a A♠, 2♣.",2022-09-05T07:13:13.016Z,166236199301600
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:13:12.150Z,166236199215000
"""Cal @ aFFqA9i1yY"" checks",2022-09-05T07:13:08.295Z,166236198829500
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:13:06.473Z,166236198647300
"River: 8♦, J♥, 3♦, K♣ [7♥]",2022-09-05T07:13:03.409Z,166236198340900
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:13:02.505Z,166236198250500
"""Cal @ aFFqA9i1yY"" checks",2022-09-05T07:13:00.477Z,166236198047700
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:12:58.203Z,166236197820300
"Turn: 8♦, J♥, 3♦ [K♣]",2022-09-05T07:12:51.198Z,166236197119800
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:12:50.347Z,166236197034700
"""Cal @ aFFqA9i1yY"" checks",2022-09-05T07:12:49.427Z,166236196942700
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:12:45.722Z,166236196572200
"Flop:  [8♦, J♥, 3♦]",2022-09-05T07:12:42.250Z,166236196225000
"""Cal @ aFFqA9i1yY"" checks",2022-09-05T07:12:41.431Z,166236196143100
"""The Snozzle @ igDcbtr_jx"" calls 0.50",2022-09-05T07:12:34.187Z,166236195418700
"""Phil @ 5tcvVo6jdw"" calls 0.50",2022-09-05T07:12:32.049Z,166236195204900
"""Robert @ zRtqW5d6Mc"" folds",2022-09-05T07:12:29.937Z,166236194993700
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-05T07:12:27.504Z,166236194750400
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-09-05T07:12:24.780Z,166236194478007
"""The Snozzle @ igDcbtr_jx"" posts a small blind of 0.25",2022-09-05T07:12:24.780Z,166236194478006
"Your hand is 5♥, 8♥",2022-09-05T07:12:24.780Z,166236194478005
"Player stacks: #1 ""Phil @ 5tcvVo6jdw"" (119.45) | #7 ""The Snozzle @ igDcbtr_jx"" (28.97) | #8 ""Cal @ aFFqA9i1yY"" (230.34) | #9 ""Robert @ zRtqW5d6Mc"" (112.49)",2022-09-05T07:12:24.780Z,166236194478001
"-- starting hand #160  (No Limit Texas Hold'em) (dealer: ""Phil @ 5tcvVo6jdw"") --",2022-09-05T07:12:24.780Z,166236194478000
"-- ending hand #159 --",2022-09-05T07:12:18.774Z,166236193877404
"""The Snozzle @ igDcbtr_jx"" collected 0.50 from pot with Pair, 7's (combination: 7♣, 7♥, A♦, Q♥, 10♦)",2022-09-05T07:12:18.774Z,166236193877403
"""The Snozzle @ igDcbtr_jx"" shows a 8♦, 4♦.",2022-09-05T07:12:18.774Z,166236193877402
"""Phil @ 5tcvVo6jdw"" collected 0.50 from pot with Pair, 7's (combination: 7♣, 7♥, A♦, Q♥, 10♦)",2022-09-05T07:12:18.774Z,166236193877401
"""Phil @ 5tcvVo6jdw"" shows a 9♣, 5♥.",2022-09-05T07:12:18.774Z,166236193877400
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:12:17.917Z,166236193791700
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:12:16.063Z,166236193606300
"River: A♦, Q♥, 7♣, 7♥ [10♦]",2022-09-05T07:12:12.369Z,166236193236900
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:12:11.471Z,166236193147100
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:12:09.677Z,166236192967700
"Turn: A♦, Q♥, 7♣ [7♥]",2022-09-05T07:12:06.968Z,166236192696800
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:12:06.083Z,166236192608300
"""Phil @ 5tcvVo6jdw"" checks",2022-09-05T07:12:02.036Z,166236192203600
"Flop:  [A♦, Q♥, 7♣]",2022-09-05T07:11:51.352Z,166236191135200
"""The Snozzle @ igDcbtr_jx"" checks",2022-09-05T07:11:50.535Z,166236191053500
"""Phil @ 5tcvVo6jdw"" calls 0.50",2022-09-05T07:11:48.057Z,166236190805700
"""Robert @ zRtqW5d6Mc"" folds",2022-09-05T07:11:47.144Z,166236190714400
"""Cal @ aFFqA9i1yY"" folds",2022-09-05T07:11:45.653Z,166236190565300
"""The Snozzle @ igDcbtr_jx"" posts a big blind of 0.50",2022-09-05T07:11:40.747Z,166236190074708
"""Phil @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-09-05T07:11:40.747Z,166236190074707
"Your hand is Q♦, 4♣",2022-09-05T07:11:40.747Z,166236190074706
"Player stacks: #1 ""Phil @ 5tcvVo6jdw"" (119.45) | #7 ""The Snozzle @ igDcbtr_jx"" (28.97) | #8 ""Cal @ aFFqA9i1yY"" (230.34) | #9 ""Robert @ zRtqW5d6Mc"" (112.49)",2022-09-05T07:11:40.747Z,166236190074702
"-- starting hand #159  (No Limit Texas Hold'em) (dead button) --",2022-09-05T07:11:40.747Z,166236190074701
"The player ""Duncan @ ZNWCYkgSaC"" quits the game with a stack of 0.00.",2022-09-05T07:11:40.747Z,166236190074700
"""Phil @ 5tcvVo6jdw"" shows a 5♥, A♥.",2022-09-05T07:11:35.264Z,166236189526400
"-- ending hand #158 --",2022-09-05T07:11:34.142Z,166236189414201
"""Robert @ zRtqW5d6Mc"" collected 83.87 from pot with Straight, A High (combination: A♣, K♦, Q♠, J♦, 10♥)",2022-09-05T07:11:34.142Z,166236189414200
"River: 8♠, K♦, A♣, 10♥ [5♦]",2022-09-05T07:11:30.137Z,166236189013700
"""Duncan @ ZNWCYkgSaC"" shows a 8♥, 8♦.",2022-09-05T07:11:25.975Z,166236188597501
"""Robert @ zRtqW5d6Mc"" shows a Q♠, J♦.",2022-09-05T07:11:25.975Z,166236188597500
"Some players choose to not run it twice.",2022-09-05T07:11:25.138Z,166236188513801
"""Robert @ zRtqW5d6Mc"" chooses to not run it twice.",2022-09-05T07:11:25.138Z,166236188513800
"""Duncan @ ZNWCYkgSaC"" chooses to  run it twice.",2022-09-05T07:11:25.120Z,166236188512000
"Remaining players decide whether to run it twice.",2022-09-05T07:11:23.156Z,166236188315601
"""Duncan @ ZNWCYkgSaC"" calls 31.70 and go all in",2022-09-05T07:11:23.156Z,166236188315600
