entry,at,order
"-- ending hand #178 --",2022-09-09T07:36:05.997Z,166270896599703
"""Rob @ L5KRSxrX9f"" shows a Q♥, 8♣.",2022-09-09T07:36:05.997Z,166270896599702
"""griffin @ 2LT_LriXX5"" collected 80.00 from pot with Three of a Kind, A's (combination: A♣, A♠, A♥, 10♥, 9♠)",2022-09-09T07:36:05.997Z,166270896599701
"""griffin @ 2LT_LriXX5"" shows a 3♠, A♣.",2022-09-09T07:36:05.997Z,166270896599700
"""griffin @ 2LT_LriXX5"" calls 20.00",2022-09-09T07:36:05.142Z,166270896514200
"""Rob @ L5KRSxrX9f"" bets 20.00",2022-09-09T07:36:01.992Z,166270896199200
"River: 9♠, 10♥, A♠, 8♦ [A♥]",2022-09-09T07:35:55.271Z,166270895527100
"""griffin @ 2LT_LriXX5"" checks",2022-09-09T07:35:54.395Z,166270895439500
"""Rob @ L5KRSxrX9f"" checks",2022-09-09T07:35:46.179Z,166270894617900
"Turn: 9♠, 10♥, A♠ [8♦]",2022-09-09T07:35:43.459Z,166270894345900
"""Rob @ L5KRSxrX9f"" calls 10.00",2022-09-09T07:35:42.610Z,166270894261000
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-09-09T07:35:42.454Z,166270894245400
"""Duncan @ cqZiV-Wp5I"" folds",2022-09-09T07:35:41.482Z,166270894148200
"""Cal @ aFFqA9i1yY"" folds",2022-09-09T07:35:40.463Z,166270894046300
"""griffin @ 2LT_LriXX5"" bets 10.00",2022-09-09T07:35:26.054Z,166270892605400
"""Rob @ L5KRSxrX9f"" checks",2022-09-09T07:35:20.833Z,166270892083300
"Flop:  [9♠, 10♥, A♠]",2022-09-09T07:35:18.435Z,166270891843500
"The player ""Hota tee @ 5SOPxVh-c6"" canceled the seat request.",2022-09-09T07:35:18.426Z,166270891842600
"""griffin @ 2LT_LriXX5"" calls 5.00",2022-09-09T07:35:17.565Z,166270891756500
"""Rob @ L5KRSxrX9f"" calls 5.00",2022-09-09T07:35:15.864Z,166270891586400
"""Duncan @ cqZiV-Wp5I"" calls 5.00",2022-09-09T07:35:14.866Z,166270891486600
"""Cal @ aFFqA9i1yY"" raises to 5.00",2022-09-09T07:35:13.817Z,166270891381700
"The player ""Hota tee @ 5SOPxVh-c6"" requested a seat.",2022-09-09T07:35:12.089Z,166270891208900
"""griffin @ 2LT_LriXX5"" posts a big blind of 0.50",2022-09-09T07:34:52.017Z,166270889201708
"""Rob @ L5KRSxrX9f"" posts a small blind of 0.25",2022-09-09T07:34:52.017Z,166270889201707
"Player stacks: #1 ""Duncan @ cqZiV-Wp5I"" (22.67) | #2 ""Rob @ L5KRSxrX9f"" (234.55) | #6 ""griffin @ 2LT_LriXX5"" (175.45) | #10 ""Cal @ aFFqA9i1yY"" (68.45)",2022-09-09T07:34:52.017Z,166270889201702
"-- starting hand #178  (No Limit Texas Hold'em) (dealer: ""Duncan @ cqZiV-Wp5I"") --",2022-09-09T07:34:52.017Z,166270889201701
"The player ""Hota tee @ 5SOPxVh-c6"" quits the game with a stack of 0.00.",2022-09-09T07:34:52.017Z,166270889201700
"""griffin @ 2LT_LriXX5"" shows a 7♦, 2♣.",2022-09-09T07:34:46.617Z,166270888661700
"-- ending hand #177 --",2022-09-09T07:34:45.481Z,166270888548101
"""Rob @ L5KRSxrX9f"" collected 54.92 from pot with Pair, K's (combination: K♣, K♠, Q♠, 10♣, 8♥)",2022-09-09T07:34:45.481Z,166270888548100
"River: 8♥, K♠, 3♦, 7♥ [10♣]",2022-09-09T07:34:41.393Z,166270888139300
"Turn: 8♥, K♠, 3♦ [7♥]",2022-09-09T07:34:37.382Z,166270887738200
"""Hota tee @ 5SOPxVh-c6"" shows a A♦, 6♦.",2022-09-09T07:34:33.376Z,166270887337601
"""Rob @ L5KRSxrX9f"" shows a K♣, Q♠.",2022-09-09T07:34:33.376Z,166270887337600
"Some players choose to not run it twice.",2022-09-09T07:34:32.538Z,166270887253801
"""Rob @ L5KRSxrX9f"" chooses to not run it twice.",2022-09-09T07:34:32.538Z,166270887253800
"""Hota tee @ 5SOPxVh-c6"" shows a A♦, 6♦.",2022-09-09T07:34:28.804Z,166270886880400
"Remaining players decide whether to run it twice.",2022-09-09T07:34:25.121Z,166270886512101
"""Rob @ L5KRSxrX9f"" calls 20.21",2022-09-09T07:34:25.121Z,166270886512100
"""Hota tee @ 5SOPxVh-c6"" raises to 20.21 and go all in",2022-09-09T07:34:23.754Z,166270886375400
"""griffin @ 2LT_LriXX5"" folds",2022-09-09T07:34:20.853Z,166270886085300
"""Rob @ L5KRSxrX9f"" bets 7.25",2022-09-09T07:34:18.441Z,166270885844100
"Flop:  [8♥, K♠, 3♦]",2022-09-09T07:34:12.162Z,166270885216200
"""Rob @ L5KRSxrX9f"" calls 4.75",2022-09-09T07:34:11.272Z,166270885127200
"""Duncan @ cqZiV-Wp5I"" folds",2022-09-09T07:34:10.155Z,166270885015500
"""Cal @ aFFqA9i1yY"" folds",2022-09-09T07:34:09.228Z,166270884922800
"""Hota tee @ 5SOPxVh-c6"" calls 4.75",2022-09-09T07:33:56.246Z,166270883624600
"""griffin @ 2LT_LriXX5"" raises to 4.75",2022-09-09T07:33:54.225Z,166270883422500
"""Rob @ L5KRSxrX9f"" posts a big blind of 0.50",2022-09-09T07:33:40.135Z,166270882013508
"""Duncan @ cqZiV-Wp5I"" posts a small blind of 0.25",2022-09-09T07:33:40.135Z,166270882013507
"Player stacks: #1 ""Duncan @ cqZiV-Wp5I"" (22.92) | #2 ""Rob @ L5KRSxrX9f"" (204.59) | #6 ""griffin @ 2LT_LriXX5"" (180.20) | #9 ""Hota tee @ 5SOPxVh-c6"" (24.96) | #10 ""Cal @ aFFqA9i1yY"" (68.45)",2022-09-09T07:33:40.135Z,166270882013501
"-- starting hand #177  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-09-09T07:33:40.135Z,166270882013500
"-- ending hand #176 --",2022-09-09T07:33:37.121Z,166270881712102
"""Rob @ L5KRSxrX9f"" collected 5.61 from pot",2022-09-09T07:33:37.121Z,166270881712101
"Uncalled bet of 4.20 returned to ""Rob @ L5KRSxrX9f""",2022-09-09T07:33:37.121Z,166270881712100
"""Duncan @ cqZiV-Wp5I"" folds",2022-09-09T07:33:36.250Z,166270881625000
"""Rob @ L5KRSxrX9f"" bets 4.20",2022-09-09T07:33:31.434Z,166270881143400
"""Duncan @ cqZiV-Wp5I"" checks",2022-09-09T07:33:25.485Z,166270880548500
"Flop:  [A♦, 2♦, 5♠]",2022-09-09T07:33:20.210Z,166270880021000
"""Hota tee @ 5SOPxVh-c6"" folds",2022-09-09T07:33:19.321Z,166270879932100
"""griffin @ 2LT_LriXX5"" folds",2022-09-09T07:33:18.336Z,166270879833600
"""Rob @ L5KRSxrX9f"" calls 2.18",2022-09-09T07:33:09.159Z,166270878915900
"""Duncan @ cqZiV-Wp5I"" raises to 2.18",2022-09-09T07:33:06.691Z,166270878669100
"""Cal @ aFFqA9i1yY"" folds",2022-09-09T07:33:02.769Z,166270878276900
"""Hota tee @ 5SOPxVh-c6"" calls 0.50",2022-09-09T07:33:00.328Z,166270878032800
"""griffin @ 2LT_LriXX5"" calls 0.50",2022-09-09T07:32:58.289Z,166270877828900
"""Rob @ L5KRSxrX9f"" calls 0.50",2022-09-09T07:32:49.486Z,166270876948600
"""Duncan @ cqZiV-Wp5I"" posts a big blind of 0.50",2022-09-09T07:32:44.883Z,166270876488308
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-09-09T07:32:44.883Z,166270876488307
"Player stacks: #1 ""Duncan @ cqZiV-Wp5I"" (25.10) | #2 ""Rob @ L5KRSxrX9f"" (201.16) | #6 ""griffin @ 2LT_LriXX5"" (180.70) | #9 ""Hota tee @ 5SOPxVh-c6"" (25.46) | #10 ""Cal @ aFFqA9i1yY"" (68.70)",2022-09-09T07:32:44.883Z,166270876488301
"-- starting hand #176  (No Limit Texas Hold'em) (dealer: ""Hota tee @ 5SOPxVh-c6"") --",2022-09-09T07:32:44.883Z,166270876488300
"-- ending hand #175 --",2022-09-09T07:32:38.881Z,166270875888103
"""Duncan @ cqZiV-Wp5I"" shows a 9♦, J♦.",2022-09-09T07:32:38.881Z,166270875888102
"""griffin @ 2LT_LriXX5"" collected 68.01 from pot with Pair, A's (combination: A♦, A♣, Q♦, 9♠, 7♣)",2022-09-09T07:32:38.881Z,166270875888101
"""griffin @ 2LT_LriXX5"" shows a A♦, A♣.",2022-09-09T07:32:38.881Z,166270875888100
"""griffin @ 2LT_LriXX5"" checks",2022-09-09T07:32:38.023Z,166270875802300
"""Rob @ L5KRSxrX9f"" checks",2022-09-09T07:32:13.313Z,166270873331300
"""Duncan @ cqZiV-Wp5I"" checks",2022-09-09T07:32:09.219Z,166270872921900
"River: 9♠, 3♠, 4♥, Q♦ [7♣]",2022-09-09T07:32:03.938Z,166270872393800
"""Rob @ L5KRSxrX9f"" calls 13.00",2022-09-09T07:32:03.046Z,166270872304600
"""Duncan @ cqZiV-Wp5I"" calls 13.00",2022-09-09T07:31:56.173Z,166270871617300
"""griffin @ 2LT_LriXX5"" bets 13.00",2022-09-09T07:31:34.215Z,166270869421500
"""Rob @ L5KRSxrX9f"" checks",2022-09-09T07:31:25.452Z,166270868545200
"""Duncan @ cqZiV-Wp5I"" checks",2022-09-09T07:31:24.030Z,166270868403000
"Turn: 9♠, 3♠, 4♥ [Q♦]",2022-09-09T07:31:20.695Z,166270868069500
"""Rob @ L5KRSxrX9f"" calls 5.80",2022-09-09T07:31:19.882Z,166270867988200
"""Duncan @ cqZiV-Wp5I"" calls 5.80",2022-09-09T07:31:18.154Z,166270867815400
"""griffin @ 2LT_LriXX5"" bets 5.80",2022-09-09T07:31:11.217Z,166270867121700
"""Rob @ L5KRSxrX9f"" checks",2022-09-09T07:31:07.122Z,166270866712200
"""Duncan @ cqZiV-Wp5I"" checks",2022-09-09T07:31:04.879Z,166270866487900
"Flop:  [9♠, 3♠, 4♥]",2022-09-09T07:30:53.466Z,166270865346600
"""Rob @ L5KRSxrX9f"" calls 3.62",2022-09-09T07:30:52.659Z,166270865265900
"""Duncan @ cqZiV-Wp5I"" calls 3.62",2022-09-09T07:30:49.807Z,166270864980700
"""Cal @ aFFqA9i1yY"" folds",2022-09-09T07:30:32.392Z,166270863239200
"""Hota tee @ 5SOPxVh-c6"" folds",2022-09-09T07:30:28.653Z,166270862865300
"""griffin @ 2LT_LriXX5"" raises to 3.62",2022-09-09T07:30:27.693Z,166270862769300
"""Rob @ L5KRSxrX9f"" calls 1.50",2022-09-09T07:30:21.525Z,166270862152500
"""Duncan @ cqZiV-Wp5I"" raises to 1.50",2022-09-09T07:30:18.906Z,166270861890600
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-09-09T07:30:08.710Z,166270860871008
"""Hota tee @ 5SOPxVh-c6"" posts a small blind of 0.25",2022-09-09T07:30:08.710Z,166270860871007
"Player stacks: #1 ""Duncan @ cqZiV-Wp5I"" (47.52) | #2 ""Rob @ L5KRSxrX9f"" (223.58) | #6 ""griffin @ 2LT_LriXX5"" (135.11) | #9 ""Hota tee @ 5SOPxVh-c6"" (25.71) | #10 ""Cal @ aFFqA9i1yY"" (69.20)",2022-09-09T07:30:08.710Z,166270860871001
"-- starting hand #175  (No Limit Texas Hold'em) (dealer: ""griffin @ 2LT_LriXX5"") --",2022-09-09T07:30:08.710Z,166270860871000
"-- ending hand #174 --",2022-09-09T07:30:05.718Z,166270860571802
"""Hota tee @ 5SOPxVh-c6"" collected 1.50 from pot",2022-09-09T07:30:05.718Z,166270860571801
"Uncalled bet of 3.00 returned to ""Hota tee @ 5SOPxVh-c6""",2022-09-09T07:30:05.718Z,166270860571800
"""griffin @ 2LT_LriXX5"" folds",2022-09-09T07:30:04.806Z,166270860480600
"""Rob @ L5KRSxrX9f"" folds",2022-09-09T07:30:01.117Z,166270860111700
"""Hota tee @ 5SOPxVh-c6"" bets 3.00",2022-09-09T07:29:57.323Z,166270859732300
