"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"1",3017263190,3,0,2,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0
"2",3017265406,3,1,0,0,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,1
"3",3017270592,3,2,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"4",3017272212,3,1,1,0,0,2,1,0,3,1,0,0,0,1,1,0,2,0,0,0
"5",3017277764,4,0,0,0,0,0,2,2,2,1,0,0,0,1,0,0,1,1,0,0
"6",3017282590,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",3017284498,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",3017285362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",3017286196,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",3017287242,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
"11",3017289492,3,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"12",3017291812,3,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0
"13",3017295522,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"14",3017297130,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",3017297732,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16",3017298568,2,3,0,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"17",3017298546,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18",3017300246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3017300512,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",3017300702,4,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"21",3017302744,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"22",3017305096,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",3017306256,4,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"24",3017307858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25",3017308292,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"26",3017309620,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"27",3017311634,3,1,0,0,1,2,1,0,2,1,1,1,0,1,1,1,0,0,1,0
"28",3017314366,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",3017315444,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"30",3017316012,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"31",3017316716,4,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0
"32",3017317972,3,0,0,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"33",3017319680,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"34",3017320184,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35",3017321196,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"36",3017321364,3,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"37",3017323350,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0
"38",3017324180,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39",3017325186,3,0,2,0,1,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0
"40",3017325106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",3017326768,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"42",3017327326,4,0,1,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"43",3017328848,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"44",3017330348,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0
"45",3017331526,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"46",3017333350,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"47",3017334248,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"48",3017335514,4,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
"49",3017338326,4,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"50",3017338094,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"51",3017339476,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"52",3017340294,3,1,0,0,0,1,0,0,2,1,1,1,0,1,1,1,1,0,0,0
"53",3017344906,4,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0
"54",3017348922,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"55",3017350272,3,1,0,1,0,1,2,1,2,1,0,0,0,1,0,1,1,0,0,0
"56",3017352780,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"57",3017354502,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",3017355292,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"59",3017357654,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60",3017359662,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"61",3017361086,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"62",3017362556,4,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0
"63",3017364840,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"64",3017365990,4,0,0,1,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0
"65",3017368106,4,0,0,1,0,1,2,1,1,1,0,0,0,1,0,1,1,0,0,0
"66",3017366872,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0
"67",3017379760,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",3017380584,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",3017381378,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0
"70",3017384408,4,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,1,0,0,0
"71",3017387174,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"72",3017385408,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"73",3017388246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",3017387942,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"75",3017389778,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"76",3017390404,4,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"77",3017389750,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"78",3017391764,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"79",3017390662,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"80",3017393036,4,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0
"81",3017391734,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"82",3017395580,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"83",3017397182,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",3017396272,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"85",3017397922,4,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,0,0,0
"86",3017398284,4,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"87",3017402378,4,0,0,1,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0
"88",3017405410,4,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"89",3017406946,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"90",3017409458,4,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"91",3017411082,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"92",3017412282,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"93",3017413418,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"94",3017414962,4,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0
"95",3017416902,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"96",3017418628,4,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0
"97",3017417194,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"98",3017418374,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"99",3017422078,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",3017420154,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",3017423092,3,0,0,2,0,3,0,1,2,0,2,0,0,0,1,1,1,0,0,0
"102",3017421474,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"103",3017423744,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",3017426038,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"105",3017424282,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",3017424826,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",3017426980,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",3017427540,4,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0
"109",3017425558,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"110",3017427300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",3017428186,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"112",3017430600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"113",3017431640,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"114",3017429934,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"115",3017430860,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"116",3017431770,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"117",3017433096,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",3017436022,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"119",3017434000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",3017437164,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"121",3017435022,4,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0
"122",3017437900,4,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,0
"123",3017438580,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",3017441230,4,0,0,0,0,1,1,2,2,1,1,0,0,1,1,0,1,0,0,0
"125",3017440662,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"126",3017443974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"127",3017441804,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"128",3017445800,4,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0
"129",3017444650,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"130",3017446210,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"131",3017449176,3,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"132",3017448270,4,0,0,0,0,2,2,0,1,0,0,1,0,0,0,1,1,0,0,1
"133",3017451710,4,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"134",3017453334,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"135",3017451700,4,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,3,0,0,0
"136",3017455784,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"137",3017455038,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"138",3017457972,4,0,0,0,1,1,2,0,1,1,0,1,0,1,0,1,0,0,0,0
"139",3017457486,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"140",3017458464,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"141",3017461732,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"142",3017459488,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"143",3017463048,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"144",3017463806,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
