"","id","table","sb","sb_stack","bb","bb_stack","utg","utg_stack","p4","p4_stack","p5","p5_stack","d","d_stack"
"1",3017263190,"NAURU HWY","yOOMTqsR9EFECI4lSNpp1A",1944.5,"Ga4nLjbXWOp+RvIPu1VksQ",603,"4QICpZ6v7I+i8nJKeSSE8Q",4066.5,"c2tiA/SMUK+T0PsP2rCOGA",2024.75,"X+u4T/E5ANkyZLKm1YjqwQ",3579.74,"MiMarMfTeMU39pt2obBh3A",4179.75
"2",3017265406,"NAURU HWY","Ga4nLjbXWOp+RvIPu1VksQ",593,"4QICpZ6v7I+i8nJKeSSE8Q",4066.5,"c2tiA/SMUK+T0PsP2rCOGA",2024.75,"X+u4T/E5ANkyZLKm1YjqwQ",3579.74,"MiMarMfTeMU39pt2obBh3A",4216.25,"yOOMTqsR9EFECI4lSNpp1A",2000
"3",3017270592,"NAURU HWY","4QICpZ6v7I+i8nJKeSSE8Q",4668,"c2tiA/SMUK+T0PsP2rCOGA",1434.75,"X+u4T/E5ANkyZLKm1YjqwQ",3579.74,"MiMarMfTeMU39pt2obBh3A",4206.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588
"4",3017272212,"NAURU HWY","c2tiA/SMUK+T0PsP2rCOGA",1424.75,"X+u4T/E5ANkyZLKm1YjqwQ",3579.74,"MiMarMfTeMU39pt2obBh3A",4224.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4658
"5",3017277764,"NAURU HWY","X+u4T/E5ANkyZLKm1YjqwQ",3439.74,"MiMarMfTeMU39pt2obBh3A",4224.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4658,"c2tiA/SMUK+T0PsP2rCOGA",2481.25
"6",3017282590,"NAURU HWY","MiMarMfTeMU39pt2obBh3A",4014.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4658,"c2tiA/SMUK+T0PsP2rCOGA",2692.75,"X+u4T/E5ANkyZLKm1YjqwQ",3434.74
"7",3017284498,"NAURU HWY","yOOMTqsR9EFECI4lSNpp1A",1990,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4658,"c2tiA/SMUK+T0PsP2rCOGA",2692.75,"X+u4T/E5ANkyZLKm1YjqwQ",3449.74,"MiMarMfTeMU39pt2obBh3A",4009.25
"8",3017285362,"NAURU HWY","Ga4nLjbXWOp+RvIPu1VksQ",593,"4QICpZ6v7I+i8nJKeSSE8Q",4658,"c2tiA/SMUK+T0PsP2rCOGA",2692.75,"X+u4T/E5ANkyZLKm1YjqwQ",3449.74,"MiMarMfTeMU39pt2obBh3A",4009.25,"yOOMTqsR9EFECI4lSNpp1A",1985
"9",3017286196,"NAURU HWY","4QICpZ6v7I+i8nJKeSSE8Q",4648,"c2tiA/SMUK+T0PsP2rCOGA",2692.75,"X+u4T/E5ANkyZLKm1YjqwQ",3449.74,"MiMarMfTeMU39pt2obBh3A",4024.25,"yOOMTqsR9EFECI4lSNpp1A",1985,"Ga4nLjbXWOp+RvIPu1VksQ",588
"10",3017287242,"NAURU HWY","c2tiA/SMUK+T0PsP2rCOGA",2697.75,"X+u4T/E5ANkyZLKm1YjqwQ",3449.74,"MiMarMfTeMU39pt2obBh3A",4024.25,"yOOMTqsR9EFECI4lSNpp1A",1985,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4643
"11",3017289492,"NAURU HWY","X+u4T/E5ANkyZLKm1YjqwQ",3404.74,"MiMarMfTeMU39pt2obBh3A",4164.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4598,"c2tiA/SMUK+T0PsP2rCOGA",2692.75
"12",3017291812,"NAURU HWY","MiMarMfTeMU39pt2obBh3A",4129.25,"yOOMTqsR9EFECI4lSNpp1A",2000,"Ga4nLjbXWOp+RvIPu1VksQ",588,"4QICpZ6v7I+i8nJKeSSE8Q",4563,"c2tiA/SMUK+T0PsP2rCOGA",2764.25,"X+u4T/E5ANkyZLKm1YjqwQ",3399.74
"13",3017295522,"NAURU HWY","yOOMTqsR9EFECI4lSNpp1A",1990,"Ga4nLjbXWOp+RvIPu1VksQ",999.5,"4QICpZ6v7I+i8nJKeSSE8Q",4528,"c2tiA/SMUK+T0PsP2rCOGA",2579.25,"X+u4T/E5ANkyZLKm1YjqwQ",3399.74,"MiMarMfTeMU39pt2obBh3A",3944.25
"14",3017297130,"NAURU HWY","Ga4nLjbXWOp+RvIPu1VksQ",989.5,"4QICpZ6v7I+i8nJKeSSE8Q",4528,"c2tiA/SMUK+T0PsP2rCOGA",2579.25,"X+u4T/E5ANkyZLKm1YjqwQ",3364.74,"MiMarMfTeMU39pt2obBh3A",3990.75,"yOOMTqsR9EFECI4lSNpp1A",1985
"15",3017297732,"NAURU HWY","4QICpZ6v7I+i8nJKeSSE8Q",4533,"c2tiA/SMUK+T0PsP2rCOGA",2579.25,"X+u4T/E5ANkyZLKm1YjqwQ",3364.74,"MiMarMfTeMU39pt2obBh3A",3990.75,"yOOMTqsR9EFECI4lSNpp1A",1985,"Ga4nLjbXWOp+RvIPu1VksQ",984.5
"16",3017298568,"NAURU HWY","c2tiA/SMUK+T0PsP2rCOGA",2569.25,"X+u4T/E5ANkyZLKm1YjqwQ",3364.74,"MiMarMfTeMU39pt2obBh3A",4005.75,"yOOMTqsR9EFECI4lSNpp1A",1985,"Ga4nLjbXWOp+RvIPu1VksQ",984.5,"4QICpZ6v7I+i8nJKeSSE8Q",4528
"17",3017298546,"LINCOLN ST","yOOMTqsR9EFECI4lSNpp1A",4319.5,"Gmzktdi7SyRTsixKUD1NIw",2000,"3wT3m+GDGtVWU1KR2MWJ1Q",1893,"7uKPjPg5l/gwaCxpksjtGQ",4459.65,"wyXD1O26Buq3VWHAij37Jg",2518.15,"X+u4T/E5ANkyZLKm1YjqwQ",2273.25
"18",3017300246,"NAURU HWY","X+u4T/E5ANkyZLKm1YjqwQ",3354.74,"MiMarMfTeMU39pt2obBh3A",4005.75,"yOOMTqsR9EFECI4lSNpp1A",1985,"Ga4nLjbXWOp+RvIPu1VksQ",1012,"4QICpZ6v7I+i8nJKeSSE8Q",4518,"c2tiA/SMUK+T0PsP2rCOGA",2559.25
