"","id","pot","board","sb","bb","utg","p4","p5","d","end_stage","winner"
"1",3017263190,70,"As 8h 9d Js","Folded on the TURN","Folded on the TURN","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","turn","d"
"2",3017265406,1195,"3c Qh Kd Kh 2s","Folded on the POCKET CARDS","Won","Folded on the RIVER","Folded on the POCKET CARDS","Folded on the FLOP","Folded on the POCKET CARDS","river","bb"
"3",3017270592,30,"6d Qc Jc","Folded on the FLOP","Folded on the FLOP","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","flop","p4"
"4",3017272212,1980,"2c 3c Jc 9c","Won","Folded on the FLOP","Folded on the POCKET CARDS","Folded on the TURN","Folded on the POCKET CARDS","Folded on the POCKET CARDS","turn","sb"
"5",3017277764,425,"As 6c 10h Qh 4s","Folded on the POCKET CARDS","Lost","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","river","d"
"6",3017282590,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","pocket","d"
"7",3017284498,15,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"8",3017285362,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","pocket","p5"
"9",3017286196,15,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"10",3017287242,185,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","utg"
"11",3017289492,110,"Qd 8c Jc","Folded on the POCKET CARDS","Folded on the FLOP","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the FLOP","Won","flop","d"
